accession	accession_version	strain	date	region	country	division	location	length	host	is_lab_host	date_released	date_updated	sra_accessions	authors	abbr_authors	institution	num_date
MK107843	MK107843.1	LASV/H.sapiens-tc/NGA/2012/IRR_010	2012-05-28	Africa	Nigeria	Delta		7222	Homo sapiens		2018-12-10	2018-12-10		Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	Ehichioya et al.	Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology	2012.405737704918
MK107849	MK107849.1	LASV/H.sapiens-tc/NGA/2014/IRR_007	2014-05-14	Africa	Nigeria	Ebonyi		7258	Homo sapiens		2018-12-10	2018-12-10		Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	Ehichioya et al.	Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology	2014.3657534246574
MK107855	MK107855.1	LASV/H.sapiens-tc/NGA/2014/IRR_002	2014-01-20	Africa	Nigeria	Nasarawa State		7221	Homo sapiens		2018-12-10	2018-12-10		Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	Ehichioya et al.	Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology	2014.0534246575342
MK107894	MK107894.1	LASV/H.sapiens-tc/NGA/2013/IRR_007	2013-02-03	Africa	Nigeria	Enugu		7249	Homo sapiens		2018-12-10	2018-12-10		Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	Ehichioya et al.	Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology	2013.0917808219178
OM791221	OM791221.1	M.natalensis/SLE/2020/Largo-00521	2020-02-18	Africa	Sierra Leone	Largo		7281	Mastomys natalensis		2022-07-13	2023-11-22		Ghersi,B.,Vucak,M.,Nichols,J.,Bangura,J.,Davison,A.J.,Bird,B.	Ghersi et al.	University of Glasgow, Centre for Virus Research	2020.1325136612022
OQ919501	OQ919501.1	G-7284-1-1	2016-06-30	Africa	Sierra Leone	Kgh		7172			2023-07-08	2023-07-08		Sandi,J.D.,Momoh,M.,Jalloh,A.M.S.,Kamara,M.S.,Kallon,T.M.P.S.,Baimba,F.,Samuels,R.J.,Wohl,S.,Alhasan,F.,Kanneh,L.,Park,D.,Siddle,K.J.,Schieffelin,J.,Sabeti,P.,Garry,R.F.,Andersen,K.G.,Happi,C.,Grant,D.S.,Schefflien,J.S.	Sandi et al.	Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory	2016.4959016393443
OQ919504	OQ919504.1	G-8410-1-1	2019-12-26	Africa	Sierra Leone	Kgh		7190			2023-07-08	2023-07-08		Sandi,J.D.,Momoh,M.,Jalloh,A.M.S.,Kamara,M.S.,Kallon,T.M.P.S.,Baimba,F.,Samuels,R.J.,Wohl,S.,Alhasan,F.,Kanneh,L.,Park,D.,Siddle,K.J.,Schieffelin,J.,Sabeti,P.,Garry,R.F.,Andersen,K.G.,Happi,C.,Grant,D.S.,Schefflien,J.S.	Sandi et al.	Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory	2019.9849315068493
PP431171	PP431171.1	OWEHR133RS	2022-02-16	Africa	Nigeria	Owo		5223	Rodentia		2024-03-10	2024-03-10		Happi,A.N.,Ogunsanya,O.A.,Sijuwola,A.E.,Saibu,F.M.,Akano,K.,Ayinla,A.O.,Nwofoke,C.,Daodu,R.O.,Adedokun,O.A.,Fadele,J.,Elias,O.T.,Ogundana,K.E.,Lawal,O.Z.,Adelabu,A.,Nosamiefan,I.,Okolie,J.,Parker,Z.,McCauley,M.,Lombardi,K.,Eller,L.A.,Broach,E.,Prins,P.,Parker,E.,Page,B.,Heeney,J.L.,Modjarrad,K.,Collins,N.D.,Vasan,S.,Happi,C.T.	Happi et al.	Redeemers University, ACEGID	2022.127397260274
PP431191	PP431191.1	OWIYR108	2021-06-18	Africa	Nigeria	Owo		6641	Rodentia		2024-03-10	2024-03-10		Happi,A.N.,Ogunsanya,O.A.,Sijuwola,A.E.,Saibu,F.M.,Akano,K.,Ayinla,A.O.,Nwofoke,C.,Daodu,R.O.,Adedokun,O.A.,Fadele,J.,Elias,O.T.,Ogundana,K.E.,Lawal,O.Z.,Adelabu,A.,Nosamiefan,I.,Okolie,J.,Parker,Z.,McCauley,M.,Lombardi,K.,Eller,L.A.,Broach,E.,Prins,P.,Parker,E.,Page,B.,Heeney,J.L.,Modjarrad,K.,Collins,N.D.,Vasan,S.,Happi,C.T.	Happi et al.	Redeemers University, ACEGID	2021.4616438356165
PP431192	PP431192.1	OWEHR175SPL	2022-09-03	Africa	Nigeria	Owo		6611	Rodentia		2024-03-10	2024-03-10		Happi,A.N.,Ogunsanya,O.A.,Sijuwola,A.E.,Saibu,F.M.,Akano,K.,Ayinla,A.O.,Nwofoke,C.,Daodu,R.O.,Adedokun,O.A.,Fadele,J.,Elias,O.T.,Ogundana,K.E.,Lawal,O.Z.,Adelabu,A.,Nosamiefan,I.,Okolie,J.,Parker,Z.,McCauley,M.,Lombardi,K.,Eller,L.A.,Broach,E.,Prins,P.,Parker,E.,Page,B.,Heeney,J.L.,Modjarrad,K.,Collins,N.D.,Vasan,S.,Happi,C.T.	Happi et al.	Redeemers University, ACEGID	2022.672602739726
