accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	authors	institution	clade	outbreak	lineage	coverage	missing_data	divergence	nonACGTN	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_frame_shifts	QC_stop_codons	frame_shifts	is_reverse_complement	num_date
PP507093	PP507093.1	MPXV/Human/USA/CA-LACPHL-MA00596/2023	2023-09-01	North America	USA			Homo sapiens	2024-03-26		Garrigues et al.	Garrigues,J.M.,Green,N.M.	Los Angeles County Public Health Laboratories	IIb	hMPXV-1	B.1.20	0.9595150322754032	4975	580	1	good	good	good	good	good		False	2023.6671232876713
PP533283	PP533283.1	NY-NYCPHL-001197	2023-02-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al.	Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1	0.9922214503394876	0	606	0	good	good	good	good	good		False	[2023.0863013698631:2023.1602739726027]
PP751823	PP751823.1	NY-NYCPHL-001307	2024-03-XX	North America	USA	New York	New York City	Homo sapiens	2024-05-08		Clabby et al.	Clabby,T.,Amin,H.S.,Taki,F.,Su,M.,Wang,J.C.,De La Cruz,N.,Olsen,A.,Thi,C.,Akther,S.,Chowdhury,M.,Omoregie,E.,Polanco,M.,Chen,X.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1.20	0.9606103169733632	6547	596	0	good	good	good	good	good		False	[2024.1653005464482:2024.2472677595629]
PP852952	PP852952.1	VSP194	2022-01-01	Africa	Nigeria	Borno State		Homo sapiens	2024-07-09		Parker et al.	Parker,E.,Omah,I.F.,Varilly,P.,Magee,A.,Ayinla,A.O.,Sijuwola,A.E.,Ahmed,M.I.,Ope-ewe,O.O.,Ogunsanya,O.A.,Olono,A.,Eromon,P.,Tomkins-Tinch,C.H.,Otieno,J.R.,Akanbi,O.,Egwuenu,A.,Ehiakhamen,O.,Chukwu,C.,Suleiman,K.,Akinpelu,A.,Ahmad,A.,Imam,K.I.,Ojedele,R.,Oripenaye,V.,Ikeata,K.,Adelakun,S.,Olajumoke,B.,Djuicy,D.D.,Messanga Essengue,L.L.,Moumbeket Yifomnjou,M.H.,Zeller,M.,Gangavarapu,K.,O'Toole,A.,Park,D.J.,Mboowa,G.,Tessema,S.K.,Tebeje,Y.K.,Folarin,O.,Happi,A.,Lemey,P.,Suchard,M.A.,Andersen,K.G.,Sabeti,P.,Rambaut,A.,Njoum,R.,Ihekweazu,C.,Jide,I.,Adetifa,I.,Happi,C.T.,Omah,I.,Isa Imam,K.,Tomkins-Tinch,C.,Richard Otieno,J.,Doreen Djuicy,D.,Landry Messanga Essengue,L.,Henri Moumbeket Yifomnjou,M.,Moneyang Francoise Cely,F.,Flavien,K.,Cyrielle Gonofio,E.,Anne Feissona Senam,R.,Dzeret Indolo,G.,Reize Bani Ampiri,V.,Aymard,D.,Luakanda,G.,J Park,D.,Lemmey,P.,Suchard,M.,Andersen,K.,Mbala,P.,Happi,C.	University of Edinburgh, Institute of Ecology and Evolution	IIb	hMPXV-1	A.2.3	0.9999949292375094	1	593	0	good	good	good	good	good	OPG174:290-347	False	2022.0013698630137
PP918963	PP918963.1	MPXV/Human/USA/CA-LACPHL-MA00629/2024	2024-05-28	North America	USA			Homo sapiens	2024-06-23		Heibeck et al.	Heibeck,N.,Garrigues,J.,Green,N.	Los Angeles Department of Public Health, Los Angeles Department of Public Health Laboratory	IIb	hMPXV-1	B.1.20	0.8672525087597422	23255	540	1	bad	good	good	good	good		False	2024.405737704918
PQ159989	PQ159989.1	hMpxV/USA/CA-CDPH-1M1000638/2024	2024-07-01	North America	USA			Homo sapiens	2024-08-14		Kath et al.	Kath,C.,Haw,M.,Espinosa,A.,Hacker,J.	CDPH, VRDL	IIb	hMPXV-1	B.1.20	0.9613252944845316	6414	605	0	good	good	good	good	good		False	2024.4986338797814
MK783033	MK783033.1	MK783033	2017-10-09	Africa	Nigeria	Rivers		Homo sapiens	2019-07-24		Yinka-Ogunleye et al.	Yinka-Ogunleye,A.,Aruna,O.,Dalhat,M.,Ogoina,D.,McCollum,A.,Disu,Y.,Mamadu,I.,Akinpelu,A.,Ahmad,A.,Burga,J.,Ndoreraho,A.,Nkunzimana,E.,Manneh,L.,Mohammed,A.,Adeoye,O.,Tom-Aba,D.,Silenou,B.,Ipadeola,O.,Saleh,M.,Adeyemo,A.,Nwadiutor,I.,Aworabhi,N.,Uke,P.,John,D.,Wakama,P.,Reynolds,M.,Mauldin,M.,Doty,J.,Wilkins,K.,Musa,J.,Khalakdina,A.,Adedeji,A.,Mba,N.,Ojo,O.,Krause,G.,Ihekweazu,C.,Mauldin,M.R.,Li,Y.,Gao,J.	CDC, NCEZID/DHCPP/PRB	IIb	hMPXV-1	A.3	0.9917650817153376	1224	560	0	good	good	good	good	good		False	2017.7712328767122
ON853676	ON853676.1	MPXV/Germany/2022/RKI098	2022-06-XX	Europe	Germany			Homo sapiens	2022-06-27		Brinkmann et al.	Brinkmann,A.,Kohl,C.,Uddin,S.,Pape,K.,Schrick,L.,Michel,J.,Schaade,L.,Nitsche,A.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	IIb	hMPXV-1	B.1	0.9924496346515626	1489	602	0	good	good	good	good	good		False	[2022.4150684931508:2022.4945205479453]
OP535331	OP535331.1	MPXV_Nigeria_2018_5300	2018-01-XX	Africa	Nigeria	Oyo State		Homo sapiens	2022-12-25		Nnaemeka et al.	Nnaemeka,N.,Akanbi,O.,Chukwu,C.,Ayansola,O.,Ahmad,A.,Yinka-Ogunleye,A.,Akinpelu,A.,Babatunde,O.,Ihekweazu,C.,Adetifa,I.,Mauldin,M.R.,Gigante,C.M.,Batra,D.,Weigand,M.,Howard,D.,Sheth,M.,Seabolt,M.H.,Li,Y.	Nigeria Centre for Disease Control, National Reference Laboratory	IIb	hMPXV-1	A	0.9978601382289854	372	545	0	good	good	good	good	good		False	[2018.0013698630137:2018.0835616438355]
OP612676	OP612676.1	MPXV/013/19	2019-02-20	Africa	Nigeria			Homo sapiens	2022-10-11		Ndodo et al.	Ndodo,N.,Ashcroft,J.,Lewandowski,K.,Yinka-Ogunleye,A.,Chukwu,C.,Ahmad,A.,King,D.,Akinpelu,A.,Maluquer de Motes,C.,Ribeca,P.,Summer,R.P.,Rambaut,A.,Chester,M.,Maishman,T.,Babatunde,O.,Mba,N.,Aruna,O.,Pullan,S.T.,Gannon,B.,Brown,C.,Ihekweazu,C.,Adetifa,I.,Ulaeto,D.O.	Defence Science and Technology Laboratory, Chemical, Biological and Radiological Sciences	IIb	hMPXV-1	A	0.8840164495535193	20853	475	0	mediocre	good	good	bad	good	OPG001:25-247,OPG060:8-159,OPG070:94-274,OPG074:136-666,OPG109:117-796,OPG122:159-249,OPG137:174-319,OPG155:9-147,OPG188:454-504,OPG198:229-283	False	2019.1383561643836
