accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	authors	institution	clade	G_clade	qc.overallScore	qc.overallStatus	alignmentScore	alignmentStart	alignmentEnd	genome_coverage	G_coverage	F_coverage	num_date
OQ595307	OQ595307.1	Kilifi/RSVA/HF20077_27/04/2018	2018-04-27	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D.5	GA2.3.5	0.0	good	43442	236	15014	0.9686699507389164	1.0	1.0	2018.3191780821917
OQ595308	OQ595308.1	Kilifi/RSVA/HF20078_26/04/2018	2018-04-26	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D.4	GA2.3.5	0.0	good	43388	236	15014	0.9686042692939244	1.0	1.0	2018.3164383561643
OQ595310	OQ595310.1	Kilifi/RSVA/HF20080_01/05/2018	2018-05-01	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D	GA2.3.5	0.0	good	43430	236	15014	0.9686042692939244	1.0	1.0	2018.3301369863013
OQ595314	OQ595314.1	Kilifi/RSVA/HF20084_11/05/2018	2018-05-11	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D.4	GA2.3.5	0.0	good	43380	236	15014	0.9685385878489328	1.0	1.0	2018.3575342465754
OQ595318	OQ595318.1	Kilifi/RSVA/HF20088_30/08/2018	2018-08-30	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D.4	GA2.3.5	0.0	good	43256	236	15014	0.9685385878489328	1.0	1.0	2018.6616438356164
OQ595320	OQ595320.1	Kilifi/RSVA/HF20090_19/01/2018	2018-01-19	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D.2.2	GA2.3.5	0.0	good	43637	236	15014	0.968735632183908	1.0	1.0	2018.0506849315068
OQ595329	OQ595329.1	Kilifi/RSVA/HF20099_13/02/2018	2018-02-13	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D.4	GA2.3.5	0.0	good	43381	236	15014	0.968735632183908	1.0	1.0	2018.1191780821919
OQ595333	OQ595333.1	Kilifi/RSVA/HF20103_19/02/2018	2018-02-19	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D	GA2.3.5	0.0	good	43424	239	15014	0.9686042692939244	1.0	1.0	2018.1356164383562
OQ595335	OQ595335.1	Kilifi/RSVA/HF20105_22/02/2018	2018-02-22	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D	GA2.3.5	0.0	good	43439	239	15014	0.9685385878489328	1.0	1.0	2018.1438356164383
OQ595341	OQ595341.1	Kilifi/RSVA/HF20111_24/02/2018	2018-02-24	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D.4	GA2.3.5	0.0	good	43452	236	15014	0.9688013136289	1.0	1.0	2018.1493150684933
OQ595344	OQ595344.1	Kilifi/RSVA/HF20114_01/03/2018	2018-03-01	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D.4	GA2.3.5	0.0	good	43408	236	15014	0.9688013136289	1.0	1.0	2018.16301369863
OQ595351	OQ595351.1	Kilifi/RSVA/HF20121_07/03/2018	2018-03-07	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D.4	GA2.3.5	0.0	good	43418	235	15014	0.9688013136289	1.0	1.0	2018.1794520547944
OQ595354	OQ595354.1	Kilifi/RSVA/HF20124_07/03/2018	2018-03-07	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D.2.2	GA2.3.5	0.0	good	43640	235	15014	0.9688669950738916	1.0	1.0	2018.1794520547944
OQ595368	OQ595368.1	Kilifi/RSVA/HF20138_07/04/2018	2018-04-07	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D	GA2.3.5	0.0	good	43593	239	15014	0.9685385878489328	1.0	1.0	2018.2643835616439
OQ595364	OQ595364.1	Kilifi/RSVA/HF20134_02/04/2018	2018-04-02	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D.4	GA2.3.5	0.0	good	43388	236	15014	0.9688013136289	1.0	1.0	2018.2506849315068
OQ848527	OQ848527.1	hRSV/A/USA/6S7/2010	2010-XX-XX	North America	USA			Homo sapiens	2023-05-16	SRR24174237	Sereewit et al.	Sereewit,J.,Hajian,P.,Xie,H.,Greninger,A.L.	UW Virology, Laboratory Medicine	A	unassigned	91.180278	mediocre	42139	1	15220	0.9996059113300492	1.0	1.0	[2010.0013698630137:2010.9986301369863]
OQ595371	OQ595371.1	Kilifi/RSVA/HF20141_24/04/2018	2018-04-24	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D	GA2.3.5	0.0	good	43444	236	15014	0.9688013136289	1.0	1.0	2018.3109589041096
OQ848529	OQ848529.1	hRSV/A/USA/7C2/2010	2010-11-XX	North America	USA			Homo sapiens	2023-05-16	SRR24174224	Sereewit et al.	Sereewit,J.,Hajian,P.,Xie,H.,Greninger,A.L.	UW Virology, Laboratory Medicine	A.3.1	GA2.3.3	0.0	good	44687	1	15225	1.0	1.0	1.0	[2010.8342465753424:2010.9136986301369]
OQ848533	OQ848533.1	hRSV/A/USA/7F7/2011	2011-01-XX	North America	USA			Homo sapiens	2023-05-16	SRR24174222	Sereewit et al.	Sereewit,J.,Hajian,P.,Xie,H.,Greninger,A.L.	UW Virology, Laboratory Medicine	A.3.1	GA2.3.3	0.0	good	44683	1	15225	1.0	1.0	1.0	[2011.0013698630137:2011.0835616438355]
OQ848534	OQ848534.1	hRSV/A/USA/7G7/2011	2011-01-XX	North America	USA			Homo sapiens	2023-05-16	SRR24174233	Sereewit et al.	Sereewit,J.,Hajian,P.,Xie,H.,Greninger,A.L.	UW Virology, Laboratory Medicine	A.3.1.1	GA2.3.3	0.0	good	44873	1	15225	1.0	1.0	1.0	[2011.0013698630137:2011.0835616438355]
OQ848535	OQ848535.1	hRSV/A/USA/7H2/2011	2011-01-XX	North America	USA			Homo sapiens	2023-05-16	SRR24174228	Sereewit et al.	Sereewit,J.,Hajian,P.,Xie,H.,Greninger,A.L.	UW Virology, Laboratory Medicine	A.3	GA2.3.1	0.0	good	43800	1	15225	1.0	1.0	1.0	[2011.0013698630137:2011.0835616438355]
OQ848538	OQ848538.1	hRSV/A/USA/7I8/2011	2011-01-XX	North America	USA			Homo sapiens	2023-05-16	SRR24174243	Sereewit et al.	Sereewit,J.,Hajian,P.,Xie,H.,Greninger,A.L.	UW Virology, Laboratory Medicine	A.3.1	GA2.3.3	0.0	good	44686	1	15225	1.0	1.0	1.0	[2011.0013698630137:2011.0835616438355]
OQ848532	OQ848532.1	hRSV/A/USA/7F6/2011	2011-01-XX	North America	USA			Homo sapiens	2023-05-16	SRR24174223	Sereewit et al.	Sereewit,J.,Hajian,P.,Xie,H.,Greninger,A.L.	UW Virology, Laboratory Medicine	A.3.1	GA2.3.3	0.0	good	44622	1	15225	1.0	1.0	1.0	[2011.0013698630137:2011.0835616438355]
OQ848536	OQ848536.1	hRSV/A/USA/7H5/2011	2011-01-XX	North America	USA			Homo sapiens	2023-05-16	SRR24174244	Sereewit et al.	Sereewit,J.,Hajian,P.,Xie,H.,Greninger,A.L.	UW Virology, Laboratory Medicine	A.D	GA2.3.3	0.0	good	44883	44	15208	0.9959934318555008	1.0	1.0	[2011.0013698630137:2011.0835616438355]
OQ848539	OQ848539.1	hRSV/A/USA/7P5/2011	2011-03-XX	North America	USA			Homo sapiens	2023-05-16	SRR24174239	Sereewit et al.	Sereewit,J.,Hajian,P.,Xie,H.,Greninger,A.L.	UW Virology, Laboratory Medicine	A.3.1	GA2.3.3	0.0	good	44602	1	15220	0.999671592775041	1.0	1.0	[2011.16301369863:2011.2452054794521]
OQ848537	OQ848537.1	hRSV/A/USA/7H9/2011	2011-01-XX	North America	USA			Homo sapiens	2023-05-16	SRR24174231	Sereewit et al.	Sereewit,J.,Hajian,P.,Xie,H.,Greninger,A.L.	UW Virology, Laboratory Medicine	A.3.1.1	GA2.3.3	0.0	good	44937	1	15225	1.0	1.0	1.0	[2011.0013698630137:2011.0835616438355]
OQ848540	OQ848540.1	hRSV/A/USA/8B2/2011	2011-05-XX	North America	USA			Homo sapiens	2023-05-16	SRR24174241	Sereewit et al.	Sereewit,J.,Hajian,P.,Xie,H.,Greninger,A.L.	UW Virology, Laboratory Medicine	A.3.1	GA2.3.3	57.8125	mediocre	44713	1	15225	0.9999343185550084	1.0	1.0	[2011.3301369863013:2011.4123287671232]
OQ941716	OQ941716.1	OQ941716	2017-XX-XX	Oceania	Australia			Homo sapiens	2023-08-09		Pangesti et al.	Pangesti,K.N.A.,Ansari,H.R.,Bayoumi,A.,Kesson,A.M.,Hill-Cawthorne,G.A.,Abd El Ghany,M.	Westmead Institute for Medical Research (WIMR) & Sydney Infectious Disease Institute (Sydney ID), Centre for Infectious Diseases and Microbiology	A.D	GA2.3.5	0.0	good	43645	241	15067	0.9738587848932676	1.0	1.0	[2017.0013698630137:2017.9986301369863]
OQ941722	OQ941722.1	OQ941722	2018-XX-XX	Oceania	Australia			Homo sapiens	2023-08-09		Pangesti et al.	Pangesti,K.N.A.,Ansari,H.R.,Bayoumi,A.,Kesson,A.M.,Hill-Cawthorne,G.A.,Abd El Ghany,M.	Westmead Institute for Medical Research (WIMR) & Sydney Infectious Disease Institute (Sydney ID), Centre for Infectious Diseases and Microbiology	A.D	GA2.3.5	56.25	mediocre	43036	241	15014	0.9703776683087028	1.0	1.0	[2018.0013698630137:2018.9986301369863]
OQ941724	OQ941724.1	OQ941724	2016-XX-XX	Oceania	Australia			Homo sapiens	2023-08-09		Pangesti et al.	Pangesti,K.N.A.,Ansari,H.R.,Bayoumi,A.,Kesson,A.M.,Hill-Cawthorne,G.A.,Abd El Ghany,M.	Westmead Institute for Medical Research (WIMR) & Sydney Infectious Disease Institute (Sydney ID), Centre for Infectious Diseases and Microbiology	A.D	GA2.3.5	0.0	good	43970	238	15078	0.9747783251231528	1.0	1.0	[2016.0013661202186:2016.9986338797814]
OQ941726	OQ941726.1	OQ941726	2016-XX-XX	Oceania	Australia			Homo sapiens	2023-08-09		Pangesti et al.	Pangesti,K.N.A.,Ansari,H.R.,Bayoumi,A.,Kesson,A.M.,Hill-Cawthorne,G.A.,Abd El Ghany,M.	Westmead Institute for Medical Research (WIMR) & Sydney Infectious Disease Institute (Sydney ID), Centre for Infectious Diseases and Microbiology	A.D	GA2.3.5	0.0	good	43735	235	15009	0.9704433497536946	1.0	1.0	[2016.0013661202186:2016.9986338797814]
OQ941727	OQ941727.1	OQ941727	2018-XX-XX	Oceania	Australia			Homo sapiens	2023-08-09		Pangesti et al.	Pangesti,K.N.A.,Ansari,H.R.,Bayoumi,A.,Kesson,A.M.,Hill-Cawthorne,G.A.,Abd El Ghany,M.	Westmead Institute for Medical Research (WIMR) & Sydney Infectious Disease Institute (Sydney ID), Centre for Infectious Diseases and Microbiology	A.D.5	GA2.3.5	0.0	good	43867	241	15069	0.9739901477832512	1.0	1.0	[2018.0013698630137:2018.9986301369863]
OQ941735	OQ941735.1	OQ941735	2018-XX-XX	Oceania	Australia			Homo sapiens	2023-08-09		Pangesti et al.	Pangesti,K.N.A.,Ansari,H.R.,Bayoumi,A.,Kesson,A.M.,Hill-Cawthorne,G.A.,Abd El Ghany,M.	Westmead Institute for Medical Research (WIMR) & Sydney Infectious Disease Institute (Sydney ID), Centre for Infectious Diseases and Microbiology	A.D	GA2.3.5	0.0	good	43723	253	15009	0.9692610837438425	1.0	1.0	[2018.0013698630137:2018.9986301369863]
OQ941732	OQ941732.1	OQ941732	2018-XX-XX	Oceania	Australia			Homo sapiens	2023-08-09		Pangesti et al.	Pangesti,K.N.A.,Ansari,H.R.,Bayoumi,A.,Kesson,A.M.,Hill-Cawthorne,G.A.,Abd El Ghany,M.	Westmead Institute for Medical Research (WIMR) & Sydney Infectious Disease Institute (Sydney ID), Centre for Infectious Diseases and Microbiology	A.D.4	GA2.3.5	0.0	good	43790	244	15080	0.9745155993431855	1.0	1.0	[2018.0013698630137:2018.9986301369863]
OQ941737	OQ941737.1	OQ941737	2017-XX-XX	Oceania	Australia			Homo sapiens	2023-08-09		Pangesti et al.	Pangesti,K.N.A.,Ansari,H.R.,Bayoumi,A.,Kesson,A.M.,Hill-Cawthorne,G.A.,Abd El Ghany,M.	Westmead Institute for Medical Research (WIMR) & Sydney Infectious Disease Institute (Sydney ID), Centre for Infectious Diseases and Microbiology	A.D.2.2	GA2.3.5	0.0	good	44082	241	15080	0.9747126436781608	1.0	1.0	[2017.0013698630137:2017.9986301369863]
OQ941741	OQ941741.1	OQ941741	2018-XX-XX	Oceania	Australia			Homo sapiens	2023-08-09		Pangesti et al.	Pangesti,K.N.A.,Ansari,H.R.,Bayoumi,A.,Kesson,A.M.,Hill-Cawthorne,G.A.,Abd El Ghany,M.	Westmead Institute for Medical Research (WIMR) & Sydney Infectious Disease Institute (Sydney ID), Centre for Infectious Diseases and Microbiology	A.D	GA2.3.5	281.694444	bad	40353	1111	15014	0.9132348111658456	1.0	1.0	[2018.0013698630137:2018.9986301369863]
OQ941749	OQ941749.1	OQ941749	2017-XX-XX	Oceania	Australia			Homo sapiens	2023-08-09		Pangesti et al.	Pangesti,K.N.A.,Ansari,H.R.,Bayoumi,A.,Kesson,A.M.,Hill-Cawthorne,G.A.,Abd El Ghany,M.	Westmead Institute for Medical Research (WIMR) & Sydney Infectious Disease Institute (Sydney ID), Centre for Infectious Diseases and Microbiology	A.D	GA2.3.5	0.0	good	43632	244	15014	0.9701806239737274	1.0	1.0	[2017.0013698630137:2017.9986301369863]
OQ941744	OQ941744.1	OQ941744	2018-XX-XX	Oceania	Australia			Homo sapiens	2023-08-09		Pangesti et al.	Pangesti,K.N.A.,Ansari,H.R.,Bayoumi,A.,Kesson,A.M.,Hill-Cawthorne,G.A.,Abd El Ghany,M.	Westmead Institute for Medical Research (WIMR) & Sydney Infectious Disease Institute (Sydney ID), Centre for Infectious Diseases and Microbiology	A.D.5	GA2.3.5	0.0	good	43685	244	15009	0.9698522167487684	1.0	1.0	[2018.0013698630137:2018.9986301369863]
OQ941746	OQ941746.1	OQ941746	2016-XX-XX	Oceania	Australia			Homo sapiens	2023-08-09		Pangesti et al.	Pangesti,K.N.A.,Ansari,H.R.,Bayoumi,A.,Kesson,A.M.,Hill-Cawthorne,G.A.,Abd El Ghany,M.	Westmead Institute for Medical Research (WIMR) & Sydney Infectious Disease Institute (Sydney ID), Centre for Infectious Diseases and Microbiology	A.D	GA2.3.5	0.0	good	43747	241	15014	0.9703776683087028	1.0	1.0	[2016.0013661202186:2016.9986338797814]
OQ941753	OQ941753.1	OQ941753	2016-XX-XX	Oceania	Australia			Homo sapiens	2023-08-09		Pangesti et al.	Pangesti,K.N.A.,Ansari,H.R.,Bayoumi,A.,Kesson,A.M.,Hill-Cawthorne,G.A.,Abd El Ghany,M.	Westmead Institute for Medical Research (WIMR) & Sydney Infectious Disease Institute (Sydney ID), Centre for Infectious Diseases and Microbiology	A.D.2.2	GA2.3.5	572.804444	bad	36678	1111	15014	0.9132348111658456	1.0	1.0	[2016.0013661202186:2016.9986338797814]
OQ941755	OQ941755.1	OQ941755	2016-XX-XX	Oceania	Australia			Homo sapiens	2023-08-09		Pangesti et al.	Pangesti,K.N.A.,Ansari,H.R.,Bayoumi,A.,Kesson,A.M.,Hill-Cawthorne,G.A.,Abd El Ghany,M.	Westmead Institute for Medical Research (WIMR) & Sydney Infectious Disease Institute (Sydney ID), Centre for Infectious Diseases and Microbiology	A.D	GA2.3.5	216.694444	bad	40899	743	15015	0.937471264367816	1.0	1.0	[2016.0013661202186:2016.9986338797814]
OQ941752	OQ941752.1	OQ941752	2016-XX-XX	Oceania	Australia			Homo sapiens	2023-08-09		Pangesti et al.	Pangesti,K.N.A.,Ansari,H.R.,Bayoumi,A.,Kesson,A.M.,Hill-Cawthorne,G.A.,Abd El Ghany,M.	Westmead Institute for Medical Research (WIMR) & Sydney Infectious Disease Institute (Sydney ID), Centre for Infectious Diseases and Microbiology	A.D	GA2.3.5	0.0	good	43707	238	15014	0.970574712643678	1.0	1.0	[2016.0013661202186:2016.9986338797814]
OQ941770	OQ941770.1	OQ941770	1956-XX-XX	Oceania	Australia			Homo sapiens	2023-08-09		Pangesti et al.	Pangesti,K.N.A.,Ansari,H.R.,Bayoumi,A.,Kesson,A.M.,Hill-Cawthorne,G.A.,Abd El Ghany,M.	Westmead Institute for Medical Research (WIMR) & Sydney Infectious Disease Institute (Sydney ID), Centre for Infectious Diseases and Microbiology	A	unassigned	61.387778	mediocre	41235	178	15014	0.9745155993431855	1.0	1.0	[1956.0013661202186:1956.9986338797814]
OQ941771	OQ941771.1	OQ941771	1956-XX-XX	Oceania	Australia			Homo sapiens	2023-08-09		Pangesti et al.	Pangesti,K.N.A.,Ansari,H.R.,Bayoumi,A.,Kesson,A.M.,Hill-Cawthorne,G.A.,Abd El Ghany,M.	Westmead Institute for Medical Research (WIMR) & Sydney Infectious Disease Institute (Sydney ID), Centre for Infectious Diseases and Microbiology	A	unassigned	56.25	mediocre	41122	241	15088	0.9752380952380952	1.0	1.0	[1956.0013661202186:1956.9986338797814]
OQ941767	OQ941767.1	OQ941767	2018-XX-XX	Oceania	Australia			Homo sapiens	2023-08-09		Pangesti et al.	Pangesti,K.N.A.,Ansari,H.R.,Bayoumi,A.,Kesson,A.M.,Hill-Cawthorne,G.A.,Abd El Ghany,M.	Westmead Institute for Medical Research (WIMR) & Sydney Infectious Disease Institute (Sydney ID), Centre for Infectious Diseases and Microbiology	A.D.1	GA2.3.5	0.0	good	43596	241	15009	0.970049261083744	1.0	1.0	[2018.0013698630137:2018.9986301369863]
OQ941775	OQ941775.1	OQ941775	2016-XX-XX	Oceania	Australia			Homo sapiens	2023-08-09		Pangesti et al.	Pangesti,K.N.A.,Ansari,H.R.,Bayoumi,A.,Kesson,A.M.,Hill-Cawthorne,G.A.,Abd El Ghany,M.	Westmead Institute for Medical Research (WIMR) & Sydney Infectious Disease Institute (Sydney ID), Centre for Infectious Diseases and Microbiology	A.D	GA2.3.5	295.84	bad	42874	241	15048	0.9726108374384236	1.0	1.0	[2016.0013661202186:2016.9986338797814]
OQ941772	OQ941772.1	OQ941772	2018-XX-XX	Oceania	Australia			Homo sapiens	2023-08-09		Pangesti et al.	Pangesti,K.N.A.,Ansari,H.R.,Bayoumi,A.,Kesson,A.M.,Hill-Cawthorne,G.A.,Abd El Ghany,M.	Westmead Institute for Medical Research (WIMR) & Sydney Infectious Disease Institute (Sydney ID), Centre for Infectious Diseases and Microbiology	A.D	GA2.3.5	448.29	bad	38706	1111	15014	0.9132348111658456	1.0	1.0	[2018.0013698630137:2018.9986301369863]
