accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	authors	institution	clade	outbreak	lineage	coverage	missing_data	divergence	nonACGTN	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_frame_shifts	QC_stop_codons	frame_shifts	is_reverse_complement	num_date
OP819948	OP819948.1	VAC_INS_MPX_0952_C	2022-10-15	South America	Colombia	Valle del Cauca		Homo sapiens	2022-11-14		Laiton-Donato et al.	Laiton-Donato,K.D.,Franco,C.E.,Alvarez-Diaz,D.A.,Ruiz-Moreno,H.A.,Prada,D.A.,Martinez,D.,Mercado-Reyes,M.M.	Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica	IIb	hMPXV-1	B.1	0.9816387690216978	1434	599	0	good	good	good	good	good		False	2022.7876712328766
OP819949	OP819949.1	VAC_INS_MPX_0955_C	2022-10-11	South America	Colombia	Valle del Cauca		Homo sapiens	2022-11-14		Laiton-Donato et al.	Laiton-Donato,K.D.,Franco,C.E.,Alvarez-Diaz,D.A.,Ruiz-Moreno,H.A.,Prada,D.A.,Martinez,D.,Mercado-Reyes,M.M.	Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica	IIb	hMPXV-1	B.1.16	0.9958977531451404	685	613	0	good	good	good	good	good		False	2022.7767123287672
OP819950	OP819950.1	MET_INS_MPX_0956_C	2022-10-12	South America	Colombia	Meta		Homo sapiens	2022-11-14		Laiton-Donato et al.	Laiton-Donato,K.D.,Franco,C.E.,Alvarez-Diaz,D.A.,Ruiz-Moreno,H.A.,Prada,D.A.,Martinez,D.,Mercado-Reyes,M.M.	Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica	IIb	hMPXV-1	B.1.15	0.9782362873905348	3783	593	0	good	good	good	good	good		False	2022.7794520547945
OP819951	OP819951.1	VAC_INS_MPX_0957_HO	2022-10-15	South America	Colombia	Valle del Cauca		Homo sapiens	2022-11-14		Laiton-Donato et al.	Laiton-Donato,K.D.,Franco,C.E.,Alvarez-Diaz,D.A.,Ruiz-Moreno,H.A.,Prada,D.A.,Martinez,D.,Mercado-Reyes,M.M.	Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica	IIb	hMPXV-1	B.1.16	0.8221683594562115	29956	489	0	bad	good	good	good	good		False	2022.7876712328766
OP819955	OP819955.1	VAC_INS_MPX_0962_C	2022-10-13	South America	Colombia	Valle del Cauca		Homo sapiens	2022-11-14		Laiton-Donato et al.	Laiton-Donato,K.D.,Franco,C.E.,Alvarez-Diaz,D.A.,Ruiz-Moreno,H.A.,Prada,D.A.,Martinez,D.,Mercado-Reyes,M.M.	Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica	IIb	hMPXV-1	B.1.16	0.9796256763129472	3894	603	0	good	good	good	good	good		False	2022.782191780822
OP819956	OP819956.1	VAC_INS_MPX_0965_EL	2022-10-12	South America	Colombia	Valle del Cauca		Homo sapiens	2022-11-14		Laiton-Donato et al.	Laiton-Donato,K.D.,Franco,C.E.,Alvarez-Diaz,D.A.,Ruiz-Moreno,H.A.,Prada,D.A.,Martinez,D.,Mercado-Reyes,M.M.	Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica	IIb	hMPXV-1	B.1.18	0.9906697970173776	1716	603	0	good	good	good	good	good		False	2022.7794520547945
OP819959	OP819959.1	SAN_INS_MPX_0971_L	2022-10-11	South America	Colombia	Santander		Homo sapiens	2022-11-14		Laiton-Donato et al.	Laiton-Donato,K.D.,Franco,C.E.,Alvarez-Diaz,D.A.,Ruiz-Moreno,H.A.,Prada,D.A.,Martinez,D.,Mercado-Reyes,M.M.	Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica	IIb	hMPXV-1	B.1.16	0.96486975746543	6804	585	0	good	good	good	good	good		False	2022.7767123287672
OP820451	OP820451.1	hMpxV/Human/USA/IL-RIPHL-MPXV_10002/2022	2022-08-13	North America	USA	Illinois	Cook County IL	Homo sapiens	2022-11-14		Barbian et al.	Barbian,H.,Green,S.,Kunstman,K.,Araujo Perez,F.,Bobrovska,S.,Hayden,M.,Moore,N.	Rush University Meical Center, Regional Innovative Public Health Laboratory (RIPHL)	IIb	hMPXV-1	B.1.13	0.994396807447936	410	611	0	good	good	good	good	good		False	2022.6150684931506
OP820454	OP820454.1	hMpxV/Human/USA/IL-RIPHL-MPXV_10005/2022	2022-09-07	North America	USA	Illinois	Cook County IL	Homo sapiens	2022-11-14		Barbian et al.	Barbian,H.,Green,S.,Kunstman,K.,Araujo Perez,F.,Bobrovska,S.,Hayden,M.,Moore,N.	Rush University Meical Center, Regional Innovative Public Health Laboratory (RIPHL)	IIb	hMPXV-1	B.1	0.9957760548453672	141	609	0	good	good	good	good	good		False	2022.6835616438357
OP820458	OP820458.1	hMpxV/Human/USA/IL-RIPHL-MPXV_10009/2022	2022-08-19	North America	USA	Illinois	Cook County IL	Homo sapiens	2022-11-14		Barbian et al.	Barbian,H.,Green,S.,Kunstman,K.,Araujo Perez,F.,Bobrovska,S.,Hayden,M.,Moore,N.	Rush University Meical Center, Regional Innovative Public Health Laboratory (RIPHL)	IIb	hMPXV-1	B.1.3	0.990994325816773	1083	611	1	good	good	good	good	good		False	2022.631506849315
OP837337	OP837337.1	MPXV/Germany/2022/RKI575	2022-06-XX	Europe	Germany			Homo sapiens	2022-11-16		Brinkmann et al.	Brinkmann,A.,Kohl,C.,Pape,K.,Schrick,L.,Michel,J.,Schaade,L.,Nitsche,A.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	IIb	hMPXV-1	B.1.1	0.9992089610514732	156	606	0	good	good	good	good	good		False	[2022.4150684931508:2022.4945205479453]
OP837343	OP837343.1	MPXV/Germany/2022/RKI581	2022-06-XX	Europe	Germany			Homo sapiens	2022-11-16		Brinkmann et al.	Brinkmann,A.,Kohl,C.,Pape,K.,Schrick,L.,Michel,J.,Schaade,L.,Nitsche,A.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	IIb	hMPXV-1	B.1.1	1.0	0	611	0	good	good	good	good	good		False	[2022.4150684931508:2022.4945205479453]
OP837344	OP837344.1	MPXV/Germany/2022/RKI582	2022-06-XX	Europe	Germany			Homo sapiens	2022-11-16		Brinkmann et al.	Brinkmann,A.,Kohl,C.,Pape,K.,Schrick,L.,Michel,J.,Schaade,L.,Nitsche,A.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	IIb	hMPXV-1	B.1	1.0	0	607	0	good	good	good	good	good		False	[2022.4150684931508:2022.4945205479453]
OP837353	OP837353.1	MPXV/Germany/2022/RKI591	2022-06-XX	Europe	Germany			Homo sapiens	2022-11-16		Brinkmann et al.	Brinkmann,A.,Kohl,C.,Pape,K.,Schrick,L.,Michel,J.,Schaade,L.,Nitsche,A.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	IIb	hMPXV-1	B.1	0.9999949292375094	1	607	0	good	good	good	good	good		False	[2022.4150684931508:2022.4945205479453]
OP837355	OP837355.1	MPXV/Germany/2022/RKI593	2022-10-XX	Europe	Germany			Homo sapiens	2022-11-16		Brinkmann et al.	Brinkmann,A.,Kohl,C.,Pape,K.,Schrick,L.,Michel,J.,Schaade,L.,Nitsche,A.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	IIb	hMPXV-1	B.1	0.9969778255556287	596	604	0	good	good	good	good	good		False	[2022.7493150684932:2022.831506849315]
OP837470	OP837470.1	VAC_INS_MPX_1050_E	2022-10-26	South America	Colombia	Valle del Cauca		Homo sapiens	2022-11-16		Laiton-Donato et al.	Laiton-Donato,K.D.,Franco,C.E.,Alvarez-Diaz,D.A.,Ruiz-Moreno,H.A.,Prada,D.A.,Martinez,D.,Mercado-Reyes,M.M.	Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica	IIb	hMPXV-1	B.1.16	0.9897519890065868	1897	603	0	good	good	good	good	good		False	2022.817808219178
OP838893	OP838893.1	ID6821	2022-06-21	Europe	Italy			Homo sapiens	2022-11-16		Viscardi et al.	Viscardi,M.,Cozzolino,L.,De Martinis,C.,Cardillo,L.,Fusco,G.	Istituto Zooprofilattico Sperimentale del Mezzogiorno, Hanimal Health	IIb	hMPXV-1	B.1.19	0.9999391508501132	3	606	9	good	good	good	good	good	OPG029:155-156,OPG047:482-483	False	2022.4698630136986
OP863218	OP863218.1	hMpxV/USA/CA-CDPH-000043/2022	2022-07-01	North America	USA			Homo sapiens	2022-11-21		Haw et al.	Haw,M.,Probert,W.,Espinosa,A.,Kath,C.,O'Neil,R.,Bell,J.,Hacker,J.	CDPH, VRDL	IIb	hMPXV-1	B.1	0.9915216851157908	518	607	1	good	good	good	good	good		False	2022.4972602739726
OP863230	OP863230.1	hMpxV/USA/CA-CDPH-000056/2022	2022-10-07	North America	USA			Homo sapiens	2022-11-21		Haw et al.	Haw,M.,Probert,W.,Espinosa,A.,Kath,C.,O'Neil,R.,Bell,J.,Hacker,J.	CDPH, VRDL	IIb	hMPXV-1	B.1	0.9827239121946768	1873	600	0	good	good	good	good	good		False	2022.7657534246575
OP863244	OP863244.1	MPXV/Germany/2022/ON/RKI594	2022-08-XX	Europe	Germany			Homo sapiens	2022-11-21		Brinkmann et al.	Brinkmann,A.,Kohl,C.,Pape,K.,Schrick,L.,Michel,J.,Schaade,L.,Nitsche,A.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	IIb	hMPXV-1	B.1	0.9665988874747096	79	580	0	good	good	good	good	good	OPG209:179-191	False	[2022.5821917808219:2022.664383561644]
OP863255	OP863255.1	MPXV/Germany/2022/ON/RKI605	2022-09-XX	Europe	Germany			Homo sapiens	2022-11-21		Brinkmann et al.	Brinkmann,A.,Kohl,C.,Pape,K.,Schrick,L.,Michel,J.,Schaade,L.,Nitsche,A.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	IIb	hMPXV-1	B.1	0.966091811225654	178	581	0	good	good	good	good	good	OPG209:179-191	False	[2022.6671232876713:2022.7465753424658]
OP879729	OP879729.1	NJ-MPXV-008-rpt1	2022-08-12	North America	USA	New Jersey		Homo sapiens	2022-11-22	SRR22321683	Palmateer et al.	Palmateer,N.C.	New Jersey Department of Health, Public Health and Environmental Laboratories	IIb	hMPXV-1	B.1	0.9512141940783636	8065	587	0	mediocre	good	good	good	good		False	2022.6123287671232
OP879733	OP879733.1	NJ-MPXV-013-rep2	2022-08-17	North America	USA	New Jersey		Homo sapiens	2022-11-22	SRR22321724	Palmateer et al.	Palmateer,N.C.	New Jersey Department of Health, Public Health and Environmental Laboratories	IIb	hMPXV-1	B.1.11	0.9802392385743044	2264	602	0	good	good	good	good	good		False	2022.6260273972603
OP879734	OP879734.1	NJ-MPXV-014-rep2	2022-09-03	North America	USA	New Jersey		Homo sapiens	2022-11-22	SRR22321723	Palmateer et al.	Palmateer,N.C.	New Jersey Department of Health, Public Health and Environmental Laboratories	IIb	hMPXV-1	B.1.2	0.963738977430036	5593	597	0	good	good	good	good	good		False	2022.672602739726
OP879741	OP879741.1	NJ-MPXV-023	2022-07-06	North America	USA	New Jersey		Homo sapiens	2022-11-22	SRR22321716	Palmateer et al.	Palmateer,N.C.	New Jersey Department of Health, Public Health and Environmental Laboratories	IIb	hMPXV-1	B.1.1	0.8442211055276382	24906	497	0	bad	good	good	good	good		False	2022.5109589041097
OP879748	OP879748.1	NJ-MPXV-033	2022-07-12	North America	USA	New Jersey		Homo sapiens	2022-11-22	SRR22321708	Palmateer et al.	Palmateer,N.C.	New Jersey Department of Health, Public Health and Environmental Laboratories	IIb	hMPXV-1	B.1.11	0.9686322632334224	4620	599	0	good	good	good	good	good		False	2022.527397260274
OP881933	OP881933.1	ANT-LDSP-ANT-MPX-26252E	2022-09-26	South America	Colombia	Antioquia		Homo sapiens	2022-11-23		Betancur et al.	Betancur,I.I.B.,Velarde-Hoyos,C.-A.C.V.,Gomez,R.R.G.,Mercado-Reyes,M.M.R.	Laboratorio Departamental de Salud Publica de Antioquia, Antioquia	IIb	hMPXV-1	B.1.10	0.8637333995912966	21528	489	0	bad	good	good	good	good		False	2022.7356164383561
OP881934	OP881934.1	ANT-LDSP-ANT-MPX-26255C	2022-09-26	South America	Colombia	Antioquia		Homo sapiens	2022-11-23		Betancur et al.	Betancur,I.I.B.,Velarde-Hoyos,C.-A.C.V.,Gomez,R.R.G.,Mercado-Reyes,M.M.R.	Laboratorio Departamental de Salud Publica de Antioquia, Antioquia	IIb	hMPXV-1	B.1.10	0.8690323463939272	22709	505	0	bad	good	good	good	good		False	2022.7356164383561
OP881950	OP881950.1	MPXV_USA_2022_MO0001	2022-08-XX	North America	USA	Missouri		Homo sapiens	2022-11-23	SRR22383417	Gigante et al.	Gigante,C.,Cleavinger,K.,Zhao,H.,Batra,D.,Hetrick,E.,Howard,D.,Kovar,L.,Seabolt,M.,Morrison,S.,Desch,M.,Knipe,K.,Weigand,M.,Sheth,M.,Burgin,A.,Burroughs,M.,Lee,J.,Wilkins,K.,McCollum,A.,Hutson,C.,Davidson,W.,Rao,A.,Sinn,M.,Li,Y.	CDC, DHCPP-PRB	IIb	hMPXV-1	B.1.11	0.9997920987378872	41	611	0	good	good	good	good	good		False	[2022.5821917808219:2022.664383561644]
OP890526	OP890526.1	MPXV/Human/USA/CA-LACPHL-MA00322/2022	2022-10-31	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.3	0.9816336982592072	2076	603	0	good	good	good	good	good		False	2022.831506849315
OP890527	OP890527.1	MPXV/Human/USA/CA-LACPHL-MA00323/2022	2022-10-28	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9900460932310392	1262	606	0	good	good	good	good	good		False	2022.823287671233
OP890528	OP890528.1	MPXV/Human/USA/CA-LACPHL-MA00295/2022	2022-11-01	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.2	0.910977693715804	16008	549	0	mediocre	good	good	good	good		False	2022.8342465753424
OP890545	OP890545.1	MPXV/Human/USA/CA-LACPHL-MA00287/2022	2022-10-04	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9811012681976988	2178	599	1	good	good	good	good	good		False	2022.7575342465752
OP890547	OP890547.1	MPXV/Human/USA/CA-LACPHL-MA00289/2022	2022-10-04	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.9768164738931792	3024	592	0	good	good	good	good	good		False	2022.7575342465752
OP890549	OP890549.1	MPXV/Human/USA/CA-LACPHL-MA00291/2022	2022-10-07	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.3	0.9786520899147604	2663	599	1	good	good	good	good	good		False	2022.7657534246575
OP890550	OP890550.1	MPXV/Human/USA/CA-LACPHL-MA00292/2022	2022-10-07	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.3	0.9789056280392884	3468	596	0	good	good	good	good	good		False	2022.7657534246575
OP890552	OP890552.1	MPXV/Human/USA/CA-LACPHL-MA00294/2022	2022-10-06	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.18	0.8207536167213464	33802	496	1	bad	good	good	good	good		False	2022.7630136986302
OP890553	OP890553.1	MPXV/Human/USA/CA-LACPHL-MA00325/2022	2022-11-09	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.9885907843962496	1144	602	0	good	good	good	good	good		False	2022.8561643835617
OP890554	OP890554.1	MPXV/Human/USA/CA-LACPHL-MA00326/2022	2022-11-09	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.9891029314077958	601	603	0	good	good	good	good	good		False	2022.8561643835617
OP890555	OP890555.1	MPXV/Human/USA/CA-LACPHL-MA00327/2022	2022-11-09	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.9910247503917164	222	602	0	good	good	good	good	good		False	2022.8561643835617
OP890556	OP890556.1	MPXV/Human/USA/CA-LACPHL-MA00328/2022	2022-11-09	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.9898635457813793	488	602	0	good	good	good	good	good		False	2022.8561643835617
OP890557	OP890557.1	MPXV/Human/USA/CA-LACPHL-MA00329/2022	2022-11-09	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.9061756816372478	17324	552	1	mediocre	good	good	good	good		False	2022.8561643835617
OP890558	OP890558.1	MPXV/Human/USA/CA-LACPHL-MA00330/2022	2022-11-09	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.9889609500580604	629	601	0	good	good	good	good	good		False	2022.8561643835617
OP890559	OP890559.1	MPXV/Human/USA/CA-LACPHL-MA00331/2022	2022-11-09	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.9902945605930764	364	602	0	good	good	good	good	good		False	2022.8561643835617
OP890560	OP890560.1	MPXV/Human/USA/CA-LACPHL-MA00332/2022	2022-11-09	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.989305761907418	561	602	0	good	good	good	good	good		False	2022.8561643835617
OP890561	OP890561.1	MPXV/Human/USA/CA-LACPHL-MA00333/2022	2022-11-09	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.9835149511432034	1698	598	5	good	good	good	good	good		False	2022.8561643835617
OP890562	OP890562.1	MPXV/Human/USA/CA-LACPHL-MA00334/2022	2022-11-09	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.9842654239918056	1555	602	0	good	good	good	good	good		False	2022.8561643835617
OP890563	OP890563.1	MPXV/Human/USA/CA-LACPHL-MA00335/2022	2022-11-09	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.9890015161579848	621	603	0	good	good	good	good	good		False	2022.8561643835617
OP890564	OP890564.1	MPXV/Human/USA/CA-LACPHL-MA00336/2022	2022-11-09	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.9866486823623668	1133	601	0	good	good	good	good	good		False	2022.8561643835617
OP890565	OP890565.1	MPXV/Human/USA/CA-LACPHL-MA00308/2022	2022-11-09	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.9858170773139155	2106	604	1	good	good	good	good	good		False	2022.8561643835617
OP890566	OP890566.1	MPXV/Human/USA/CA-LACPHL-MA00309/2022	2022-11-09	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.9950154404717836	479	604	0	good	good	good	good	good		False	2022.8561643835617
OP890567	OP890567.1	MPXV/Human/USA/CA-LACPHL-MA00310/2022	2022-11-09	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.9909791135293012	231	604	0	good	good	good	good	good		False	2022.8561643835617
