strain	genbank_accession	genbank_accession_rev	date	region	country	division	location	length	host	release_date	update_date	abbr_authors	authors	institution	serotype_genbank	genotype_nextclade	alignmentStart	alignmentEnd	genome_coverage	failedCdses	E_coverage	C_coverage	M_coverage	pr_coverage	NS1_coverage	NS2A_coverage	NS2B_coverage	NS3_coverage	NS4A_coverage	2K_coverage	NS4B_coverage	NS5_coverage	num_date
DENV2_RUN_S22b94_2020	OR235819	OR235819.1	2020-12-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2020.9166666666667:2020.9986338797814]
DENV2_RUN_S22b93_2020	OR235820	OR235820.1	2020-01-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2020.0013661202186:2020.0833333333333]
DENV2_RUN_S22b90_2020	OR235822	OR235822.1	2020-01-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2020.0013661202186:2020.0833333333333]
DENV2_RUN_S22b87_2020	OR235825	OR235825.1	2020-01-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2020.0013661202186:2020.0833333333333]
DENV2_RUN_S22b85_2020	OR235826	OR235826.1	2020-05-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2020.3319672131147:2020.4139344262296]
DENV2_RUN_S22b81_2020	OR235830	OR235830.1	2020-10-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2020.75:2020.8319672131147]
DENV2_RUN_S22b80_2020	OR235831	OR235831.1	2020-01-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2020.0013661202186:2020.0833333333333]
DENV2_RUN_S22b75_2019	OR235836	OR235836.1	2019-01-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2019.0013698630137:2019.0835616438355]
DENV2_RUN_S22b73_2019	OR235838	OR235838.1	2019-10-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2019.7493150684932:2019.831506849315]
DENV2_RUN_S22b48_2019	OR235863	OR235863.1	2019-08-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2019.5821917808219:2019.664383561644]
DENV2_RUN_S22b37_2019	OR235873	OR235873.1	2019-06-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2019.4150684931508:2019.4945205479453]
DENV2_RUN_S22b35_2019	OR235875	OR235875.1	2019-06-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2019.4150684931508:2019.4945205479453]
DENV2_RUN_S21b88_2018	OR235916	OR235916.1	2018-02-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2018.0863013698631:2018.1602739726027]
DENV2_RUN_S21b78_2018	OR235926	OR235926.1	2018-02-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2018.0863013698631:2018.1602739726027]
DENV2_RUN_S21b49_2018	OR235954	OR235954.1	2018-07-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2018.4972602739726:2018.5794520547945]
DENV2_RUN_S21b45_2018	OR235958	OR235958.1	2018-03-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2018.16301369863:2018.2452054794521]
DENV2_RUN_S21b24_2018	OR235979	OR235979.1	2018-03-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2018.16301369863:2018.2452054794521]
DENV2_RUN_S21b19_2018	OR235984	OR235984.1	2018-03-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2018.16301369863:2018.2452054794521]
DENV2_RUN_S21b18_2018	OR235985	OR235985.1	2018-03-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2018.16301369863:2018.2452054794521]
DENV2_RUN_S21b07_2018	OR235996	OR235996.1	2018-03-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2018.16301369863:2018.2452054794521]
DENV2_RUN_S14b92_2020	OR236004	OR236004.1	2020-03-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2020.1653005464482:2020.2472677595629]
DENV2_RUN_S14b90_2020	OR236005	OR236005.1	2020-05-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2020.3319672131147:2020.4139344262296]
DENV2_RUN_S14b88_2020	OR236007	OR236007.1	2020-03-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2020.1653005464482:2020.2472677595629]
DENV2_RUN_S14b87_2020	OR236008	OR236008.1	2020-09-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2020.6680327868853:2020.7472677595629]
DENV2_RUN_S14b74_2018	OR236014	OR236014.1	2018-11-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2018.8342465753424:2018.9136986301369]
DENV2_RUN_S14b66_2018	OR236022	OR236022.1	2018-05-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2018.3301369863013:2018.4123287671232]
DENV2_RUN_S14b65_2018	OR236023	OR236023.1	2018-05-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2018.3301369863013:2018.4123287671232]
DENV2_RUN_S14b31_2018	OR236056	OR236056.1	2018-03-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2018.16301369863:2018.2452054794521]
DENV2_RUN_S14b24_2018	OR236063	OR236063.1	2018-03-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2018.16301369863:2018.2452054794521]
DENV2_RUN_S14b15_2018	OR236071	OR236071.1	2018-09-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2018.6671232876713:2018.7465753424658]
DENV2_RUN_S14b08_2018	OR236078	OR236078.1	2018-02-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2018.0863013698631:2018.1602739726027]
DENV2_RUN_S13b90_2017	OR236088	OR236088.1	2017-11-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2017.8342465753424:2017.9136986301369]
DENV2_RUN_S13b88_2017	OR236090	OR236090.1	2017-11-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2017.8342465753424:2017.9136986301369]
DENV2_RUN_S13b87_2017	OR236091	OR236091.1	2017-09-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2017.6671232876713:2017.7465753424658]
DENV2_RUN_S13b84_2017	OR236092	OR236092.1	2017-06-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2017.4150684931508:2017.4945205479453]
DENV2_RUN_S13b81_2017	OR236094	OR236094.1	2017-06-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2017.4150684931508:2017.4945205479453]
DENV2_RUN_S13b80_2017	OR236095	OR236095.1	2017-06-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2017.4150684931508:2017.4945205479453]
DENV2_RUN_S13b74_2017	OR236099	OR236099.1	2017-04-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2017.2479452054795:2017.327397260274]
DENV2_RUN_S13b68_2016	OR236103	OR236103.1	2016-05-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2016.3319672131147:2016.4139344262296]
DENV2_RUN_S13b65_2016	OR236105	OR236105.1	2016-04-XX	Europe	France	Réunion		10499	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2016.25:2016.3292349726776]
