accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	authors	institution	clade	outbreak	lineage	coverage	missing_data	divergence	nonACGTN	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_frame_shifts	QC_stop_codons	frame_shifts	is_reverse_complement	num_date
OP890548	OP890548.1	MPXV/Human/USA/CA-LACPHL-MA00290/2022	2022-10-02	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.2	0.9850057553154268	1848	603	1	good	good	good	good	good		False	2022.7520547945205
OP890557	OP890557.1	MPXV/Human/USA/CA-LACPHL-MA00329/2022	2022-11-09	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.9061756816372478	17324	552	1	mediocre	good	good	good	good		False	2022.8561643835617
OP890566	OP890566.1	MPXV/Human/USA/CA-LACPHL-MA00309/2022	2022-11-09	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.9950154404717836	479	604	0	good	good	good	good	good		False	2022.8561643835617
OP890567	OP890567.1	MPXV/Human/USA/CA-LACPHL-MA00310/2022	2022-11-09	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.9909791135293012	231	604	0	good	good	good	good	good		False	2022.8561643835617
OP890568	OP890568.1	MPXV/Human/USA/CA-LACPHL-MA00311/2022	2022-11-09	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.9902844190680952	368	603	0	good	good	good	good	good		False	2022.8561643835617
OP890569	OP890569.1	MPXV/Human/USA/CA-LACPHL-MA00312/2022	2022-11-09	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.9780892352783088	3402	597	1	good	good	good	good	good		False	2022.8561643835617
OP890577	OP890577.1	MPXV/Human/USA/CA-LACPHL-MA00320/2022	2022-11-09	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.9910247503917164	222	603	0	good	good	good	good	good		False	2022.8561643835617
OP894033	OP894033.1	MPXV/Germany/2022/ON/RKI613	2022-08-XX	Europe	Germany			Homo sapiens	2022-11-25		Brinkmann et al.	Brinkmann,A.,Kohl,C.,Pape,K.,Schrick,L.,Michel,J.,Schaade,L.,Nitsche,A.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	IIb	hMPXV-1	B.1	0.9650624464400712	383	577	0	good	good	good	good	good	OPG209:179-191	False	[2022.5821917808219:2022.664383561644]
OP920675	OP920675.1	MPXV/Human/USA/CA-LACPHL-MA00337/2022	2022-10-14	North America	USA			Homo sapiens	2022-11-30		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.3	0.982353746532866	1932	598	0	good	good	good	good	good		False	2022.7849315068493
OP920678	OP920678.1	MPXV/Human/USA/CA-LACPHL-MA00340/2022	2022-10-23	North America	USA			Homo sapiens	2022-11-30		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.990253994493152	373	602	1	good	good	good	good	good		False	2022.809589041096
OP920681	OP920681.1	MPXV/Human/USA/CA-LACPHL-MA00343/2022	2022-11-10	North America	USA			Homo sapiens	2022-11-30		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.4	0.9915622512157152	489	606	0	good	good	good	good	good		False	2022.858904109589
OP920693	OP920693.1	MPXV/Human/USA/CA-LACPHL-MA00355/2022	2022-10-16	North America	USA			Homo sapiens	2022-11-30		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9916433834155642	487	601	1	good	good	good	good	good		False	2022.7904109589042
OP920697	OP920697.1	MPXV/Human/USA/CA-LACPHL-MA00359/2022	2022-11-05	North America	USA			Homo sapiens	2022-11-30		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9910957410665842	375	601	0	good	good	good	good	good	OPG023:574-661	False	2022.845205479452
OP920699	OP920699.1	MPXV/Human/USA/CA-LACPHL-MA00361/2022	2022-10-31	North America	USA			Homo sapiens	2022-11-30		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.7	0.9883524585591936	748	608	1	good	good	good	good	good		False	2022.831506849315
OP936001	OP936001.1	Mpox-HCMC-M155	2022-10-19	Asia	Vietnam				2022-12-02		Nguyen et al.	Nguyen,D.T.,Le,H.M.,Huynh,H.T.T.,Tang,T.C.,Le,N.H.,Nguyen,H.H.,Nghiem,N.M.,Nguyen,H.T.T.,Vo,Q.T.,Vu,T.T.K.,Nguyen,T.T.,Phan,T.V.,Nguyen,T.L.N.,Le,T.M.,Vo,Q.M.,Dinh,M.N.H.,Nguyen,P.T.,Tran,P.T.L.,Tran,T.T.T.,Pham,T.T.N.,Nguyen,T.H.,Truong,L.T.T.,Nguyen,H.N.T.,Tran,T.T.,Le,K.T.T.,Lam,Y.M.,Thwaites,G.,Thwaites,L.,Nguyen,C.V.V.,Nguyen,A.T.,Le,T.V.	EI group, Oxford University Clinica Research Unit	IIb	hMPXV-1	A.2.1	0.9185889082141282	12377	522	4	mediocre	good	good	good	good		False	2022.7986301369863
OP959061	OP959061.1	BOL-UNIMOL-MPX-293613-L	2022-10-11	South America	Colombia	Bolivar CO		Homo sapiens	2022-12-06		Loyola et al.	Loyola,S.,Fernandez-Ruiz,M.,Torres-Pacheco,J.,Franco-Munoz,C.,Laiton-Donato,K.,Ruiz-Moreno,H.,Mercado-Reyes,M.,Gomez-Camargo,D.	Universidad de Cartagena, Laboratorio de Investigacion Molecular (UNIMOL)	IIb	hMPXV-1	B.1.2	0.950387659792403	7597	572	0	mediocre	good	good	good	good		False	2022.7767123287672
OP959062	OP959062.1	BOL-UNIMOL-MPX-293614-L	2022-11-11	South America	Colombia	Bolivar CO		Homo sapiens	2022-12-06		Loyola et al.	Loyola,S.,Fernandez-Ruiz,M.,Torres-Pacheco,J.,Franco-Munoz,C.,Laiton-Donato,K.,Ruiz-Moreno,H.,Mercado-Reyes,M.,Gomez-Camargo,D.	Universidad de Cartagena, Laboratorio de Investigacion Molecular (UNIMOL)	IIb	hMPXV-1	B.1.11	0.861765943744961	25074	525	0	bad	good	good	good	good		False	2022.8616438356164
OQ054223	OQ054223.1	MPXV_USA_2022_IL0029	2022-09-XX	North America	USA	Illinois		Homo sapiens	2022-12-15	SRR22708629	Gigante et al.	Gigante,C.,Ghinai,I.,Zhao,H.,Batra,D.,Hetrick,E.,Howard,D.,Kovar,L.,Seabolt,M.,Morrison,S.,Desch,M.,Knipe,K.,Weigand,M.,Sheth,M.,Burgin,A.,Burroughs,M.,Lee,J.,Wilkins,K.,McCollum,A.,Hutson,C.,Davidson,W.,Rao,A.,Kerins,J.,Li,Y.	CDC, DHCPP-PRB	IIb	hMPXV-1	B.1	0.9998580186502644	25	607	3	good	good	good	good	good		False	[2022.6671232876713:2022.7465753424658]
OQ054227	OQ054227.1	MPXV_USA_2022_NC0012	2022-09-XX	North America	USA	North Carolina		Homo sapiens	2022-12-15	SRR22708632	Gigante et al.	Gigante,C.,Pettit,D.,Zhao,H.,Batra,D.,Hetrick,E.,Howard,D.,Kovar,L.,Seabolt,M.,Morrison,S.,Desch,M.,Knipe,K.,Weigand,M.,Sheth,M.,Burgin,A.,Burroughs,M.,Lee,J.,Wilkins,K.,McCollum,A.,Hutson,C.,Davidson,W.,Rao,A.,Deutsch-Feldman,M.,Li,Y.	CDC, DHCPP-PRB	IIb	hMPXV-1	B.1	0.9997920987378872	41	608	0	good	good	good	good	good		False	[2022.6671232876713:2022.7465753424658]
OQ054241	OQ054241.1	MPXV_USA_2022_AK0001	2022-08-XX	North America	USA	Alaska		Homo sapiens	2022-12-15	SRR22708523	Gigante et al.	Gigante,C.,Mooring,E.,Zhao,H.,Batra,D.,Hetrick,E.,Howard,D.,Kovar,L.,Seabolt,M.,Morrison,S.,Desch,M.,Knipe,K.,Weigand,M.,Sheth,M.,Burgin,A.,Burroughs,M.,Lee,J.,Wilkins,K.,McCollum,A.,Hutson,C.,Davidson,W.,Rao,A.,Laurence,J.,Li,Y.	CDC, DHCPP-PRB	IIb	hMPXV-1	B.1.1	0.999781957212906	41	612	2	good	good	good	good	good		False	[2022.5821917808219:2022.664383561644]
OQ121014	OQ121014.1	hMpxV/USA/CA-CDPH-1000060/2022	2022-08-08	North America	USA			Homo sapiens	2022-12-26		Probert et al.	Probert,W.,Espinosa,A.,Kath,C.,Haw,M.,Bell,J.,Hacker,J.	CDPH, VRDL	IIb	hMPXV-1	B.1	0.9649813142402224	5366	586	0	good	good	good	good	good		False	2022.6013698630136
OQ121019	OQ121019.1	hMpxV/USA/CA-CDPH-1000065/2022	2022-07-12	North America	USA			Homo sapiens	2022-12-26		Probert et al.	Probert,W.,Espinosa,A.,Kath,C.,Haw,M.,Bell,J.,Hacker,J.	CDPH, VRDL	IIb	hMPXV-1	B.1	0.9929668524255992	702	603	1	good	good	good	good	good		False	2022.527397260274
OQ121022	OQ121022.1	hMpxV/USA/CA-CDPH-1000068/2022	2022-07-14	North America	USA			Homo sapiens	2022-12-26		Probert et al.	Probert,W.,Espinosa,A.,Kath,C.,Haw,M.,Bell,J.,Hacker,J.	CDPH, VRDL	IIb	hMPXV-1	B.1.1	0.9778610509662338	3340	593	0	good	good	good	good	good	OPG038:24-221	False	2022.5328767123287
OQ121043	OQ121043.1	hMpxV/USA/CA-CDPH-1000090/2022	2022-11-08	North America	USA			Homo sapiens	2022-12-26		Probert et al.	Probert,W.,Espinosa,A.,Kath,C.,Haw,M.,Bell,J.,Hacker,J.	CDPH, VRDL	IIb	hMPXV-1	B.1	0.8659746766121221	24903	529	0	bad	good	good	good	good		False	2022.8534246575343
OQ148472	OQ148472.1	LBMB-UTP_MP-019_VAC	2022-11-11	South America	Colombia	Valle del Cauca		Homo sapiens	2022-12-30		Tabares et al.	Tabares,F.A.,Anacona,J.D.,Lopez,P.A.,Orjuela,M.,Zuluaga-Velez,A.,Sepulveda-Arias,J.C.	Universidad Tecnologica de Pereira, Laboratorio de Biologia Molecular y Biotecnologia / Facultad de ciencias de la salud	IIb	hMPXV-1	B.1.10	0.9431466109558896	9492	574	0	mediocre	good	good	good	good		False	2022.8616438356164
OQ159032	OQ159032.1	MPXV/Germany/2022/ON/RKI637	2022-08-XX	Europe	Germany			Homo sapiens	2023-01-03		Brinkmann et al.	Brinkmann,A.,Kohl,C.,Pape,K.,Schrick,L.,Michel,J.,Schaade,L.,Nitsche,A.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	IIb	hMPXV-1	B.1	0.964722705353204	445	579	0	good	good	good	good	good		False	[2022.5821917808219:2022.664383561644]
OQ261694	OQ261694.2	MPXV-ROK-P3-2022	2022-11-14	Asia	South Korea			Homo sapiens	2023-01-22	SRR23462419	Rhie et al.	Rhie,G.-e.	Korea Disease Control and Prevention Agency, Division of High-risk Pathogens	IIb	hMPXV-1	A.2.1	1.0	0	583	0	good	good	good	good	good	OPG174:290-347	False	2022.8698630136987
OQ261697	OQ261697.1	ANT-LDSP-ANT-MPX-28206C	2022-10-13	South America	Colombia	Antioquia		Homo sapiens	2023-01-22		Betancur et al.	Betancur,I.I.B.,Velarde-Hoyos,C.-A.C.V.,Gomez,R.R.G.,Mercado-Reyes,M.M.R.	Laboratorio Departamental de Salud Publica de Antioquia, Antioquia	IIb	hMPXV-1	B.1.10	0.9868819374369324	2487	598	0	good	good	good	good	good		False	2022.782191780822
OQ274881	OQ274881.1	MPXV/Germany/2022/ON/RKI662	2022-05-XX	Europe	Germany			Homo sapiens	2023-01-24		Brinkmann et al.	Brinkmann,A.,Kohl,C.,Pape,K.,Schrick,L.,Michel,J.,Schaade,L.,Nitsche,A.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	IIb	hMPXV-1	B.1.5	0.9648951112778829	412	578	0	good	good	good	good	good		False	[2022.3301369863013:2022.4123287671232]
OQ274888	OQ274888.1	MPXV/Germany/2022/ON/RKI669	2022-05-XX	Europe	Germany			Homo sapiens	2023-01-24		Brinkmann et al.	Brinkmann,A.,Kohl,C.,Pape,K.,Schrick,L.,Michel,J.,Schaade,L.,Nitsche,A.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	IIb	hMPXV-1	B.1.3	0.9648798989904112	415	580	0	good	good	good	good	good		False	[2022.3301369863013:2022.4123287671232]
OQ320442	OQ320442.1	MPXV_USA_2022_TX0041	2022-10-XX	North America	USA	Texas		Homo sapiens	2023-01-30	SRR23195230	Gigante et al.	Gigante,C.,Kubin,G.,Zhao,H.,Batra,D.,Hetrick,E.,Howard,D.,Kovar,L.,Seabolt,M.,Morrison,S.,Desch,M.,Knipe,K.,Weigand,M.,Sheth,M.,Burgin,A.,Burroughs,M.,Lee,J.,Wilkins,K.,McCollum,A.,Hutson,C.,Davidson,W.,Rao,A.,White,S.,Li,Y.	CDC, DHCPP-PRB	IIb	hMPXV-1	B.1	0.999781957212906	41	614	0	good	good	good	good	good		False	[2022.7493150684932:2022.831506849315]
OQ320445	OQ320445.1	MPXV_USA_2022_UT0005	2022-07-XX	North America	USA	Utah		Homo sapiens	2023-01-30	SRR23195234	Gigante et al.	Gigante,C.,Murray,J.,Zhao,H.,Batra,D.,Hetrick,E.,Howard,D.,Kovar,L.,Seabolt,M.,Morrison,S.,Desch,M.,Knipe,K.,Weigand,M.,Sheth,M.,Burroughs,A.B.,Lee,J.,Wilkins,K.,McCollum,A.,Hutson,C.,Davidson,W.,Rao,A.,Atkinson,A.,Li,Y.	CDC, DHCPP-PRB	IIb	hMPXV-1	B.1	0.9997870279753966	41	609	0	good	good	good	good	good		False	[2022.4972602739726:2022.5794520547945]
OQ330971	OQ330971.1	Monkeypox virus/Human/USA/CA-LACPHL-MA00367/2022	2022-08-18	North America	USA			Homo sapiens	2023-01-26		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.965224710839769	5699	592	0	good	good	good	good	good		False	2022.6287671232876
OQ330973	OQ330973.1	Monkeypox virus/Human/USA/CA-LACPHL-MA00394/2022	2022-12-23	North America	USA			Homo sapiens	2023-01-26		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9936260515493714	475	602	0	good	good	good	good	good		False	2022.9767123287672
OQ330974	OQ330974.1	Monkeypox virus/Human/USA/CA-LACPHL-MA00395/2022	2022-12-23	North America	USA			Homo sapiens	2023-01-26		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9910247503917164	221	600	1	good	good	good	good	good		False	2022.9767123287672
OQ330978	OQ330978.1	Monkeypox virus/Human/USA/CA-LACPHL-MA00375/2022	2022-10-06	North America	USA			Homo sapiens	2023-01-26		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.18	0.9317019000147052	12733	577	0	mediocre	good	good	good	good		False	2022.7630136986302
OQ330979	OQ330979.1	Monkeypox virus/Human/USA/CA-LACPHL-MA00387/2022	2022-12-05	North America	USA			Homo sapiens	2023-01-26		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9847725002408612	1455	607	1	good	good	good	good	good		False	2022.927397260274
OQ330986	OQ330986.1	Monkeypox virus/Human/USA/CA-LACPHL-MA00380/2022	2022-10-14	North America	USA			Homo sapiens	2023-01-26		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.2	0.9797930114751356	3295	598	0	good	good	good	good	good		False	2022.7849315068493
OQ330995	OQ330995.1	Monkeypox virus/Human/USA/CA-LACPHL-MA00388/2022	2022-12-10	North America	USA			Homo sapiens	2023-01-26		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.6	0.8935190584608208	19860	531	0	mediocre	good	good	good	good	OPG178:158-205	False	2022.941095890411
OQ331000	OQ331000.2	Monkeypox virus/Human/USA/CA-LACPHL-MA00401/2022	2022-12-19	North America	USA			Homo sapiens	2023-01-26		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.7953845919810962	37482	492	3	bad	good	good	good	good		False	2022.9657534246576
OQ331003	OQ331003.1	Monkeypox virus/Human/USA/CA-LACPHL-MA00392/2022	2022-12-06	North America	USA			Homo sapiens	2023-01-26		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.6	0.9897114229066624	788	606	0	good	good	good	good	good		False	2022.9301369863015
OQ331007	OQ331007.1	Monkeypox virus/Human/USA/CA-LACPHL-MA00398/2023	2023-01-03	North America	USA			Homo sapiens	2023-01-26		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9957050641704992	25	608	1	good	good	good	good	good		False	2023.0068493150684
OQ331008	OQ331008.1	Monkeypox virus/Human/USA/CA-LACPHL-MA00399/2022	2022-12-30	North America	USA			Homo sapiens	2023-01-26		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.8367924384789741	31443	530	4	bad	good	good	good	good		False	2022.995890410959
OQ348843	OQ348843.1	hMpxV/USA/CA-CDPH-1MPX1000094/2022	2022-06-29	North America	USA			Homo sapiens	2023-02-04		Probert et al.	Probert,W.,Espinosa,A.,Kath,C.,Haw,M.,O'Neil,R.,Bell,J.,Hacker,J.	CDPH, VRDL	IIb	hMPXV-1	B.1	0.9841995040794284	1576	602	0	good	good	good	good	good		False	2022.4917808219177
OQ348853	OQ348853.1	hMpxV/USA/CA-CDPH-1MPX1000104/2022	2022-07-11	North America	USA			Homo sapiens	2023-02-04		Probert et al.	Probert,W.,Espinosa,A.,Kath,C.,Haw,M.,O'Neil,R.,Bell,J.,Hacker,J.	CDPH, VRDL	IIb	hMPXV-1	B.1	0.9888240394708152	664	601	0	good	good	good	good	good		False	2022.5246575342467
OQ427112	OQ427112.1	MPXV_USA_2022_NV0005	2022-10-XX	North America	USA	Nevada		Homo sapiens	2023-02-18	SRR23322640	Gigante et al.	Gigante,C.,Buttery,E.,Zhao,H.,Batra,D.,Hetrick,E.,Howard,D.,Kovar,L.,Seabolt,M.,Knipe,K.,Burroughs,M.S.,Lee,J.,Wilkins,K.,McCollum,A.,Hutson,C.,Davidson,W.,Rao,A.,Raman,D.,Li,Y.	CDC, DHCPP-PRB	IIb	hMPXV-1	B.1.1	0.9997920987378872	41	609	0	good	good	good	good	good		False	[2022.7493150684932:2022.831506849315]
OQ427114	OQ427114.1	MPXV_USA_2022_NY0039	2022-10-XX	North America	USA	New York		Homo sapiens	2023-02-18	SRR23322639	Gigante et al.	Gigante,C.,Ruiz,V.,Zhao,H.,Batra,D.,Hetrick,E.,Howard,D.,Kovar,L.,Seabolt,M.,Morrison,S.,Desch,M.,Knipe,K.,Weigand,M.,Sheth,M.,Burgin,A.,Burroughs,M.,Lee,J.,Wilkins,K.,McCollum,A.,Hutson,C.,Davidson,W.,Rao,A.,Wang,J.,Li,Y.	CDC, DHCPP-PRB	IIb	hMPXV-1	B.1.12	0.9997768864504156	43	612	1	good	good	good	good	good		False	[2022.7493150684932:2022.831506849315]
OQ427117	OQ427117.1	MPXV_USA_2022_NY0042	2022-11-XX	North America	USA	New York		Homo sapiens	2023-02-18	SRR23322637	Gigante et al.	Gigante,C.,Ruiz,V.,Zhao,H.,Batra,D.,Hetrick,E.,Howard,D.,Kovar,L.,Seabolt,M.,Morrison,S.,Desch,M.,Knipe,K.,Weigand,M.,Sheth,M.,Burgin,A.,Burroughs,M.,Lee,J.,Wilkins,K.,McCollum,A.,Hutson,C.,Davidson,W.,Rao,A.,Wang,J.,Li,Y.	CDC, DHCPP-PRB	IIb	hMPXV-1	B.1	0.9997870279753966	41	608	1	good	good	good	good	good		False	[2022.8342465753424:2022.9136986301369]
OQ427125	OQ427125.1	MPXV_USA_2022_TX0044	2022-10-XX	North America	USA	Texas		Homo sapiens	2023-02-18	SRR23322636	Gigante et al.	Gigante,C.,Kubin,G.,Zhao,H.,Batra,D.,Hetrick,E.,Howard,D.,Kovar,L.,Seabolt,M.,Morrison,S.,Desch,M.,Knipe,K.,Sheth,M.R.,Burgin,A.,Burroughs,M.,Lee,J.,Wilkins,K.,McCollum,A.,Hutson,C.,Davidson,W.,Rao,A.,White,S.,Li,Y.	CDC, DHCPP-PRB	IIb	hMPXV-1	B.1.20	0.9997920987378872	41	609	0	good	good	good	good	good		False	[2022.7493150684932:2022.831506849315]
