accession	accession_version	strain	date	region	country	division	location	length	host	is_lab_host	date_released	date_updated	sra_accessions	authors	abbr_authors	institution	num_date
MH053548	MH053548.1	Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1311	2016-06-10	Africa	Nigeria			7132	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2016.441256830601
MH053549	MH053549.1	Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0176	2016-01-17	Africa	Nigeria			7210	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2016.045081967213
MH887917	MH887917.1	H.sapiens-wt/NGA/2018/LASV0096-ONDO-2017	2017-09-18	Africa	Nigeria			7229	Homo sapiens		2018-10-24	2018-10-24		Siddle,K.J.,Eromon,P.,Barnes,K.G.,Mehta,S.,Oguzie,J.U.,Odia,I.,Schaffner,S.F.,Winnicki,S.M.,Shah,R.R.,Qu,J.,Wohl,S.,Brehio,P.,Iruolagbe,C.,Aiyepada,J.,Uyigue,E.,Akhilomen,P.,Okonofua,G.,Ye,S.,Kayode,T.,Ajogbasile,F.,Uwanibe,J.,Gaye,A.,Momoh,M.,Chak,B.,Kotliar,D.,Carter,A.,Gladden-Young,A.,Freije,C.A.,Omoregie,O.,Osiemi,B.,Muoebonam,E.B.,Airende,M.,Enigbe,R.,Ebo,B.,Nosamiefan,I.,Oluniyi,P.,Nekoui,M.,Ogbaini-Emovon,E.,Garry,R.F.,Andersen,K.G.,Park,D.J.,Yozwiak,N.L.,Akpede,G.,Ihekweazu,C.,Tomori,O.,Okogbenin,S.,Folarin,O.A.,Okokhere,P.O.,MacInnis,B.L.,Sabeti,P.C.,Happi,C.T.,Winnicki,S.,Shah,R.,Yozwiak,N.,Adebayo,A.,Birren,B.W.,Folarin,O.,Okokhere,P.	Siddle et al.	Broad Institute, Infectious Disease Program	2017.713698630137
MH887922	MH887922.1	H.sapiens-wt/NGA/2018/LASV0101-EDO-2017	2017-11-10	Africa	Nigeria			7134	Homo sapiens		2018-10-24	2018-10-24		Siddle,K.J.,Eromon,P.,Barnes,K.G.,Mehta,S.,Oguzie,J.U.,Odia,I.,Schaffner,S.F.,Winnicki,S.M.,Shah,R.R.,Qu,J.,Wohl,S.,Brehio,P.,Iruolagbe,C.,Aiyepada,J.,Uyigue,E.,Akhilomen,P.,Okonofua,G.,Ye,S.,Kayode,T.,Ajogbasile,F.,Uwanibe,J.,Gaye,A.,Momoh,M.,Chak,B.,Kotliar,D.,Carter,A.,Gladden-Young,A.,Freije,C.A.,Omoregie,O.,Osiemi,B.,Muoebonam,E.B.,Airende,M.,Enigbe,R.,Ebo,B.,Nosamiefan,I.,Oluniyi,P.,Nekoui,M.,Ogbaini-Emovon,E.,Garry,R.F.,Andersen,K.G.,Park,D.J.,Yozwiak,N.L.,Akpede,G.,Ihekweazu,C.,Tomori,O.,Okogbenin,S.,Folarin,O.A.,Okokhere,P.O.,MacInnis,B.L.,Sabeti,P.C.,Happi,C.T.,Winnicki,S.,Shah,R.,Yozwiak,N.,Adebayo,A.,Birren,B.W.,Folarin,O.,Okokhere,P.	Siddle et al.	Broad Institute, Infectious Disease Program	2017.858904109589
MH887940	MH887940.1	H.sapiens-wt/NGA/2018/LASV0104-ONDO-2017	2017-12-12	Africa	Nigeria			7194	Homo sapiens		2018-10-24	2018-10-24		Siddle,K.J.,Eromon,P.,Barnes,K.G.,Mehta,S.,Oguzie,J.U.,Odia,I.,Schaffner,S.F.,Winnicki,S.M.,Shah,R.R.,Qu,J.,Wohl,S.,Brehio,P.,Iruolagbe,C.,Aiyepada,J.,Uyigue,E.,Akhilomen,P.,Okonofua,G.,Ye,S.,Kayode,T.,Ajogbasile,F.,Uwanibe,J.,Gaye,A.,Momoh,M.,Chak,B.,Kotliar,D.,Carter,A.,Gladden-Young,A.,Freije,C.A.,Omoregie,O.,Osiemi,B.,Muoebonam,E.B.,Airende,M.,Enigbe,R.,Ebo,B.,Nosamiefan,I.,Oluniyi,P.,Nekoui,M.,Ogbaini-Emovon,E.,Garry,R.F.,Andersen,K.G.,Park,D.J.,Yozwiak,N.L.,Akpede,G.,Ihekweazu,C.,Tomori,O.,Okogbenin,S.,Folarin,O.A.,Okokhere,P.O.,MacInnis,B.L.,Sabeti,P.C.,Happi,C.T.,Winnicki,S.,Shah,R.,Yozwiak,N.,Adebayo,A.,Birren,B.W.,Folarin,O.,Okokhere,P.	Siddle et al.	Broad Institute, Infectious Disease Program	2017.9465753424658
MH887962	MH887962.1	H.sapiens-wt/NGA/2018/LASV0091-EDO-2017	2017-08-03	Africa	Nigeria			7170	Homo sapiens		2018-10-24	2018-10-24		Siddle,K.J.,Eromon,P.,Barnes,K.G.,Mehta,S.,Oguzie,J.U.,Odia,I.,Schaffner,S.F.,Winnicki,S.M.,Shah,R.R.,Qu,J.,Wohl,S.,Brehio,P.,Iruolagbe,C.,Aiyepada,J.,Uyigue,E.,Akhilomen,P.,Okonofua,G.,Ye,S.,Kayode,T.,Ajogbasile,F.,Uwanibe,J.,Gaye,A.,Momoh,M.,Chak,B.,Kotliar,D.,Carter,A.,Gladden-Young,A.,Freije,C.A.,Omoregie,O.,Osiemi,B.,Muoebonam,E.B.,Airende,M.,Enigbe,R.,Ebo,B.,Nosamiefan,I.,Oluniyi,P.,Nekoui,M.,Ogbaini-Emovon,E.,Garry,R.F.,Andersen,K.G.,Park,D.J.,Yozwiak,N.L.,Akpede,G.,Ihekweazu,C.,Tomori,O.,Okogbenin,S.,Folarin,O.A.,Okokhere,P.O.,MacInnis,B.L.,Sabeti,P.C.,Happi,C.T.,Winnicki,S.,Shah,R.,Yozwiak,N.,Adebayo,A.,Birren,B.W.,Folarin,O.,Okokhere,P.	Siddle et al.	Broad Institute, Infectious Disease Program	2017.5876712328768
MH887971	MH887971.1	H.sapiens-wt/NGA/2018/LASV0089-ONDO-2017	2017-07-05	Africa	Nigeria			7232	Homo sapiens		2018-10-24	2018-10-24		Siddle,K.J.,Eromon,P.,Barnes,K.G.,Mehta,S.,Oguzie,J.U.,Odia,I.,Schaffner,S.F.,Winnicki,S.M.,Shah,R.R.,Qu,J.,Wohl,S.,Brehio,P.,Iruolagbe,C.,Aiyepada,J.,Uyigue,E.,Akhilomen,P.,Okonofua,G.,Ye,S.,Kayode,T.,Ajogbasile,F.,Uwanibe,J.,Gaye,A.,Momoh,M.,Chak,B.,Kotliar,D.,Carter,A.,Gladden-Young,A.,Freije,C.A.,Omoregie,O.,Osiemi,B.,Muoebonam,E.B.,Airende,M.,Enigbe,R.,Ebo,B.,Nosamiefan,I.,Oluniyi,P.,Nekoui,M.,Ogbaini-Emovon,E.,Garry,R.F.,Andersen,K.G.,Park,D.J.,Yozwiak,N.L.,Akpede,G.,Ihekweazu,C.,Tomori,O.,Okogbenin,S.,Folarin,O.A.,Okokhere,P.O.,MacInnis,B.L.,Sabeti,P.C.,Happi,C.T.,Winnicki,S.,Shah,R.,Yozwiak,N.,Adebayo,A.,Birren,B.W.,Folarin,O.,Okokhere,P.	Siddle et al.	Broad Institute, Infectious Disease Program	2017.5082191780823
MH887981	MH887981.1	H.sapiens-wt/NGA/2018/LASV0106-ONDO-2017	2017-12-17	Africa	Nigeria			7175	Homo sapiens		2018-10-24	2018-10-24		Siddle,K.J.,Eromon,P.,Barnes,K.G.,Mehta,S.,Oguzie,J.U.,Odia,I.,Schaffner,S.F.,Winnicki,S.M.,Shah,R.R.,Qu,J.,Wohl,S.,Brehio,P.,Iruolagbe,C.,Aiyepada,J.,Uyigue,E.,Akhilomen,P.,Okonofua,G.,Ye,S.,Kayode,T.,Ajogbasile,F.,Uwanibe,J.,Gaye,A.,Momoh,M.,Chak,B.,Kotliar,D.,Carter,A.,Gladden-Young,A.,Freije,C.A.,Omoregie,O.,Osiemi,B.,Muoebonam,E.B.,Airende,M.,Enigbe,R.,Ebo,B.,Nosamiefan,I.,Oluniyi,P.,Nekoui,M.,Ogbaini-Emovon,E.,Garry,R.F.,Andersen,K.G.,Park,D.J.,Yozwiak,N.L.,Akpede,G.,Ihekweazu,C.,Tomori,O.,Okogbenin,S.,Folarin,O.A.,Okokhere,P.O.,MacInnis,B.L.,Sabeti,P.C.,Happi,C.T.,Winnicki,S.,Shah,R.,Yozwiak,N.,Adebayo,A.,Birren,B.W.,Folarin,O.,Okokhere,P.	Siddle et al.	Broad Institute, Infectious Disease Program	2017.9602739726026
MH887995	MH887995.1	H.sapiens-wt/NGA/2018/LASV0076-EDO-2017	2017-03-16	Africa	Nigeria			7220	Homo sapiens		2018-10-24	2018-10-24		Siddle,K.J.,Eromon,P.,Barnes,K.G.,Mehta,S.,Oguzie,J.U.,Odia,I.,Schaffner,S.F.,Winnicki,S.M.,Shah,R.R.,Qu,J.,Wohl,S.,Brehio,P.,Iruolagbe,C.,Aiyepada,J.,Uyigue,E.,Akhilomen,P.,Okonofua,G.,Ye,S.,Kayode,T.,Ajogbasile,F.,Uwanibe,J.,Gaye,A.,Momoh,M.,Chak,B.,Kotliar,D.,Carter,A.,Gladden-Young,A.,Freije,C.A.,Omoregie,O.,Osiemi,B.,Muoebonam,E.B.,Airende,M.,Enigbe,R.,Ebo,B.,Nosamiefan,I.,Oluniyi,P.,Nekoui,M.,Ogbaini-Emovon,E.,Garry,R.F.,Andersen,K.G.,Park,D.J.,Yozwiak,N.L.,Akpede,G.,Ihekweazu,C.,Tomori,O.,Okogbenin,S.,Folarin,O.A.,Okokhere,P.O.,MacInnis,B.L.,Sabeti,P.C.,Happi,C.T.,Winnicki,S.,Shah,R.,Yozwiak,N.,Adebayo,A.,Birren,B.W.,Folarin,O.,Okokhere,P.	Siddle et al.	Broad Institute, Infectious Disease Program	2017.204109589041
MK107843	MK107843.1	LASV/H.sapiens-tc/NGA/2012/IRR_010	2012-05-28	Africa	Nigeria	Delta		7222	Homo sapiens		2018-12-10	2018-12-10		Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	Ehichioya et al.	Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology	2012.405737704918
MK107845	MK107845.1	LASV/H.sapiens-tc/NGA/2013/IRR_016	2013-12-08	Africa	Nigeria	Bauchi		7235	Homo sapiens		2018-12-10	2018-12-10		Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	Ehichioya et al.	Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology	2013.9356164383562
MK107849	MK107849.1	LASV/H.sapiens-tc/NGA/2014/IRR_007	2014-05-14	Africa	Nigeria	Ebonyi		7258	Homo sapiens		2018-12-10	2018-12-10		Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	Ehichioya et al.	Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology	2014.3657534246574
MK107855	MK107855.1	LASV/H.sapiens-tc/NGA/2014/IRR_002	2014-01-20	Africa	Nigeria	Nasarawa State		7221	Homo sapiens		2018-12-10	2018-12-10		Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	Ehichioya et al.	Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology	2014.0534246575342
MK107861	MK107861.1	LASV/H.sapiens-tc/NGA/2015/IRR_012	2015-11-06	Africa	Nigeria	Ondo State		7226	Homo sapiens		2018-12-10	2018-12-10		Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	Ehichioya et al.	Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology	2015.8479452054794
MK107894	MK107894.1	LASV/H.sapiens-tc/NGA/2013/IRR_007	2013-02-03	Africa	Nigeria	Enugu		7249	Homo sapiens		2018-12-10	2018-12-10		Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	Ehichioya et al.	Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology	2013.0917808219178
MK107896	MK107896.1	LASV/H.sapiens-tc/NGA/2013/IRR_006	2013-01-30	Africa	Nigeria	Ondo State		7238	Homo sapiens		2018-12-10	2018-12-10		Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	Ehichioya et al.	Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology	2013.0808219178082
MK117826	MK117826.1	LASV/H.sapiens-wt/NGA/2014/IRR_001	2014-01-25	Africa	Nigeria	Edo		7160	Homo sapiens		2018-12-10	2018-12-10		Kafetzopoulou,L.E.,Pullan,S.T.,Lemey,P.,Suchard,M.A.,Ehichioya,D.U.,Pahlmann,M.,Thielebein,A.,Hinzmann,J.,Oestereich,L.,Wozniak,D.M.,Efthymiadis,K.,Schachten,D.,Koenig,F.,Matjeschk,J.,Lorenzen,S.,Lumley,S.,Ighodalo,Y.,Adomeh,D.I.,Olokor,T.,Omomoh,E.,Omiumu,R.,Agbukor,J.,Ebo,B.,Aiyepada,J.,Ebhodaghe,P.,Osiemi,B.,Ehikhametalor,S.,Akhilomen,P.,Airende,M.,Esumeh,R.,Muoebonam,E.,Giwa,R.,Ekanem,A.,Igenegbale,G.,Odigie,G.,Okonofua,G.,Ukpetena,R.A.,Oyakhilome,J.,Yerumoh,E.O.,Odia,I.,Aire,C.,Okonofua,M.,Atafo,R.,Tobin,E.,Asogun,D.,Akpede,N.,Okokhere,P.O.,Rafiu,M.O.,Iraoyah,K.O.,Iruolagbe,C.O.,Akhideno,P.,Erameh,C.,Akpede,G.,Isibor,E.,Naidoo,D.,Hewson,R.,Hiscox,J.A.,Vipond,R.,Carroll,M.W.,Ihekweazu,C.,Formenty,P.,Okogbenin,S.,Ogbaini-Emovon,E.,Gunther,S.,Duraffour,S.	Kafetzopoulou et al.	Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology	2014.0671232876712
MK117867	MK117867.1	LASV/H.sapiens-wt/NGA/2017/IRR_008	2017-02-02	Africa	Nigeria	Ebonyi		7082	Homo sapiens		2018-12-10	2018-12-10		Kafetzopoulou,L.E.,Pullan,S.T.,Lemey,P.,Suchard,M.A.,Ehichioya,D.U.,Pahlmann,M.,Thielebein,A.,Hinzmann,J.,Oestereich,L.,Wozniak,D.M.,Efthymiadis,K.,Schachten,D.,Koenig,F.,Matjeschk,J.,Lorenzen,S.,Lumley,S.,Ighodalo,Y.,Adomeh,D.I.,Olokor,T.,Omomoh,E.,Omiumu,R.,Agbukor,J.,Ebo,B.,Aiyepada,J.,Ebhodaghe,P.,Osiemi,B.,Ehikhametalor,S.,Akhilomen,P.,Airende,M.,Esumeh,R.,Muoebonam,E.,Giwa,R.,Ekanem,A.,Igenegbale,G.,Odigie,G.,Okonofua,G.,Ukpetena,R.A.,Oyakhilome,J.,Yerumoh,E.O.,Odia,I.,Aire,C.,Okonofua,M.,Atafo,R.,Tobin,E.,Asogun,D.,Akpede,N.,Okokhere,P.O.,Rafiu,M.O.,Iraoyah,K.O.,Iruolagbe,C.O.,Akhideno,P.,Erameh,C.,Akpede,G.,Isibor,E.,Naidoo,D.,Hewson,R.,Hiscox,J.A.,Vipond,R.,Carroll,M.W.,Ihekweazu,C.,Formenty,P.,Okogbenin,S.,Ogbaini-Emovon,E.,Gunther,S.,Duraffour,S.	Kafetzopoulou et al.	Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology	2017.0890410958905
OM735991	OM735991.1	L.sikapusi-wt/SLE/2019/Barlie-00019	2019-07-13	Africa	Sierra Leone	Barlie		7265	Lophuromys sikapusi		2022-07-02	2023-11-22		Ghersi,B.,Vucak,M.,Nichols,J.,Bangura,J.,Davison,A.J.,Bird,B.	Ghersi et al.	University of Glasgow, Centre for Virus Research	2019.5301369863014
OM791219	OM791219.1	M.natalensis/SLE/2020/Barlie-00512	2020-02-05	Africa	Sierra Leone	Barlie		7275	Mastomys natalensis		2022-07-13	2023-11-22		Ghersi,B.,Vucak,M.,Nichols,J.,Bangura,J.,Davison,A.J.,Bird,B.	Ghersi et al.	University of Glasgow, Centre for Virus Research	2020.0969945355191
OM791221	OM791221.1	M.natalensis/SLE/2020/Largo-00521	2020-02-18	Africa	Sierra Leone	Largo		7281	Mastomys natalensis		2022-07-13	2023-11-22		Ghersi,B.,Vucak,M.,Nichols,J.,Bangura,J.,Davison,A.J.,Bird,B.	Ghersi et al.	University of Glasgow, Centre for Virus Research	2020.1325136612022
OQ919501	OQ919501.1	G-7284-1-1	2016-06-30	Africa	Sierra Leone	Kgh		7172			2023-07-08	2023-07-08		Sandi,J.D.,Momoh,M.,Jalloh,A.M.S.,Kamara,M.S.,Kallon,T.M.P.S.,Baimba,F.,Samuels,R.J.,Wohl,S.,Alhasan,F.,Kanneh,L.,Park,D.,Siddle,K.J.,Schieffelin,J.,Sabeti,P.,Garry,R.F.,Andersen,K.G.,Happi,C.,Grant,D.S.,Schefflien,J.S.	Sandi et al.	Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory	2016.4959016393443
OQ919504	OQ919504.1	G-8410-1-1	2019-12-26	Africa	Sierra Leone	Kgh		7190			2023-07-08	2023-07-08		Sandi,J.D.,Momoh,M.,Jalloh,A.M.S.,Kamara,M.S.,Kallon,T.M.P.S.,Baimba,F.,Samuels,R.J.,Wohl,S.,Alhasan,F.,Kanneh,L.,Park,D.,Siddle,K.J.,Schieffelin,J.,Sabeti,P.,Garry,R.F.,Andersen,K.G.,Happi,C.,Grant,D.S.,Schefflien,J.S.	Sandi et al.	Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory	2019.9849315068493
OQ919506	OQ919506.1	G-27653-1-1	2022-05-28	Africa	Sierra Leone	Kgh		7079			2023-07-08	2023-07-08		Sandi,J.D.,Momoh,M.,Jalloh,A.M.S.,Kamara,M.S.,Kallon,T.M.P.S.,Baimba,F.,Samuels,R.J.,Wohl,S.,Alhasan,F.,Kanneh,L.,Park,D.,Siddle,K.J.,Schieffelin,J.,Sabeti,P.,Garry,R.F.,Andersen,K.G.,Happi,C.,Grant,D.S.,Schefflien,J.S.	Sandi et al.	Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory	2022.4041095890411
OR113008	OR113008.1	G-27952-1-1	2023-04-11	Africa	Sierra Leone	Kgh		7167	Homo sapiens		2023-07-19	2023-07-19		Sandi,J.D.,Momoh,M.,Jalloh,A.M.S.,Kamara,M.S.,Kallon,T.M.P.S.,Baimba,F.,Samuels,R.J.,Wohl,S.,Alhasan,F.,Kanneh,L.,Park,D.,Siddle,K.J.,Schieffelin,J.,Sabeti,P.,Garry,R.F.,Andersen,K.G.,Happi,C.,Grant,D.S.,Schefflien,J.S.	Sandi et al.	Kenema Government Hospital, Viral Hemorrhagic Fever (VHF) Laborarory	2023.2753424657535
PP431171	PP431171.1	OWEHR133RS	2022-02-16	Africa	Nigeria	Owo		5223	Rodentia		2024-03-10	2024-03-10		Happi,A.N.,Ogunsanya,O.A.,Sijuwola,A.E.,Saibu,F.M.,Akano,K.,Ayinla,A.O.,Nwofoke,C.,Daodu,R.O.,Adedokun,O.A.,Fadele,J.,Elias,O.T.,Ogundana,K.E.,Lawal,O.Z.,Adelabu,A.,Nosamiefan,I.,Okolie,J.,Parker,Z.,McCauley,M.,Lombardi,K.,Eller,L.A.,Broach,E.,Prins,P.,Parker,E.,Page,B.,Heeney,J.L.,Modjarrad,K.,Collins,N.D.,Vasan,S.,Happi,C.T.	Happi et al.	Redeemers University, ACEGID	2022.127397260274
PP431177	PP431177.1	OWISR018KID	2021-04-06	Africa	Nigeria	Owo		6532	Rodentia		2024-03-10	2024-03-10		Happi,A.N.,Ogunsanya,O.A.,Sijuwola,A.E.,Saibu,F.M.,Akano,K.,Ayinla,A.O.,Nwofoke,C.,Daodu,R.O.,Adedokun,O.A.,Fadele,J.,Elias,O.T.,Ogundana,K.E.,Lawal,O.Z.,Adelabu,A.,Nosamiefan,I.,Okolie,J.,Parker,Z.,McCauley,M.,Lombardi,K.,Eller,L.A.,Broach,E.,Prins,P.,Parker,E.,Page,B.,Heeney,J.L.,Modjarrad,K.,Collins,N.D.,Vasan,S.,Happi,C.T.	Happi et al.	Redeemers University, ACEGID	2021.2616438356165
PP431186	PP431186.1	OWEHR075KID	2021-06-29	Africa	Nigeria	Owo		6156	Rodentia		2024-03-10	2024-03-10		Happi,A.N.,Ogunsanya,O.A.,Sijuwola,A.E.,Saibu,F.M.,Akano,K.,Ayinla,A.O.,Nwofoke,C.,Daodu,R.O.,Adedokun,O.A.,Fadele,J.,Elias,O.T.,Ogundana,K.E.,Lawal,O.Z.,Adelabu,A.,Nosamiefan,I.,Okolie,J.,Parker,Z.,McCauley,M.,Lombardi,K.,Eller,L.A.,Broach,E.,Prins,P.,Parker,E.,Page,B.,Heeney,J.L.,Modjarrad,K.,Collins,N.D.,Vasan,S.,Happi,C.T.	Happi et al.	Redeemers University, ACEGID	2021.4917808219177
