accession	accession_version	strain	date	region	country	division	location	length	host	is_lab_host	date_released	date_updated	sra_accessions	authors	abbr_authors	institution	num_date
MF990887	MF990887.1	Lassa/H.sapiens-tc/TGO/2016/812939	2016-03-12	Africa	Togo			7286	Homo sapiens		2018-03-21	2018-03-21		Whitmer,S.L.M.,Strecker,T.,Cadar,D.,Dienes,H.P.,Faber,K.,Patel,K.,Brown,S.M.,Davis,W.G.,Klena,J.D.,Rollin,P.E.,Schmidt-Chanasit,J.,Fichet-Calvet,E.,Noack,B.,Emmerich,P.,Rieger,T.,Wolff,S.,Fehling,S.K.,Eickmann,M.,Mengel,J.P.,Schultze,T.,Hain,T.,Ampofo,W.,Bonney,K.,Aryeequaye,J.N.D.,Ribner,B.,Varkey,J.B.,Mehta,A.K.,Lyon,G.M. III,Kann,G.,De Leuw,P.,Schuettfort,G.,Stephan,C.,Wieland,U.,Fries,J.W.U.,Kochanek,M.,Kraft,C.S.,Wolf,T.,Nichol,S.T.,Becker,S.,Stroher,U.,Gunther,S.,Davis,W.,Stroeher,U.	Whitmer et al.	The Centers for Disease Control and Prevention, Viral Special Pathogens Branch	2016.1953551912568
MG812652	MG812652.1	LF11003	2011-02-20	Africa	Liberia	Bong		7135	Homo sapiens		2019-01-31	2019-01-31		Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	Welch et al.	Centers for Disease Control and Prevention, Viral Special Pathogens Branch	2011.1383561643836
MG812654	MG812654.1	LF11011	2011-04-14	Africa	Liberia	Bong		7134	Homo sapiens		2019-01-31	2019-01-31		Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	Welch et al.	Centers for Disease Control and Prevention, Viral Special Pathogens Branch	2011.2835616438356
MG812656	MG812656.1	LF13006	2013-04-29	Africa	Liberia	Nimba		7210	Homo sapiens		2019-01-31	2019-01-31		Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	Welch et al.	Centers for Disease Control and Prevention, Viral Special Pathogens Branch	2013.3246575342466
MG812660	MG812660.1	LF13007	2013-04-29	Africa	Liberia	Nimba		7133	Homo sapiens		2019-01-31	2019-01-31		Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	Welch et al.	Centers for Disease Control and Prevention, Viral Special Pathogens Branch	2013.3246575342466
MG812662	MG812662.1	LF16004	2016-02-26	Africa	Liberia	Bong		7156	Homo sapiens		2019-01-31	2019-01-31		Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	Welch et al.	Centers for Disease Control and Prevention, Viral Special Pathogens Branch	2016.1543715846994
MG812664	MG812664.1	LF16016	2016-04-13	Africa	Liberia	Nimba		7118	Homo sapiens		2019-01-31	2019-01-31		Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	Welch et al.	Centers for Disease Control and Prevention, Viral Special Pathogens Branch	2016.282786885246
MG812666	MG812666.1	LF17007	2017-01-09	Africa	Liberia	Nimba		7299	Homo sapiens		2019-01-31	2019-01-31		Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	Welch et al.	Centers for Disease Control and Prevention, Viral Special Pathogens Branch	2017.0232876712328
MG812668	MG812668.1	LF17019	2017-05-04	Africa	Liberia	Bong		7215	Homo sapiens		2019-01-31	2019-01-31		Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	Welch et al.	Centers for Disease Control and Prevention, Viral Special Pathogens Branch	2017.3383561643836
MG812671	MG812671.1	LF17020	2017-05-02	Africa	Liberia	Nimba		7290	Homo sapiens		2019-01-31	2019-01-31		Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	Welch et al.	Centers for Disease Control and Prevention, Viral Special Pathogens Branch	2017.3328767123287
MG812672	MG812672.1	LF17001	2017-01-09	Africa	Liberia	Nimba		7253	Homo sapiens		2019-01-31	2019-01-31		Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	Welch et al.	Centers for Disease Control and Prevention, Viral Special Pathogens Branch	2017.0232876712328
MG812676	MG812676.1	LF17013	2017-02-13	Africa	Liberia	Bong		7150	Homo sapiens		2019-01-31	2019-01-31		Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	Welch et al.	Centers for Disease Control and Prevention, Viral Special Pathogens Branch	2017.1191780821919
MH053464	MH053464.1	Lassa virus/H.sapiens-wt/NGA/2015/ISTH_0831	2015-12-30	Africa	Nigeria			6628	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2015.995890410959
MH053465	MH053465.1	Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1541	2016-10-13	Africa	Nigeria			6659	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2016.782786885246
MH053466	MH053466.1	Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1546	2016-10-16	Africa	Nigeria			7001	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2016.7909836065573
MH053467	MH053467.1	Lassa virus/H.sapiens-wt/NGA/2015/ISTH_0789	2015-12-15	Africa	Nigeria			6576	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2015.954794520548
MH053469	MH053469.1	Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1604	2016-11-05	Africa	Nigeria			6735	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2016.8456284153006
MH053471	MH053471.1	Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0187	2016-01-17	Africa	Nigeria			6722	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2016.045081967213
MH053473	MH053473.1	Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0717	2016-02-23	Africa	Nigeria			7071	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2016.146174863388
MH053477	MH053477.1	Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0917	2016-03-13	Africa	Nigeria			6671	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2016.198087431694
MH053479	MH053479.1	Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0621	2016-02-12	Africa	Nigeria			6698	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2016.1161202185792
MH053481	MH053481.1	Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0419	2016-01-28	Africa	Nigeria			6454	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2016.0751366120219
MH053486	MH053486.1	Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0133	2016-01-14	Africa	Nigeria			6684	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2016.0368852459017
MH053489	MH053489.1	Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1069	2016-04-13	Africa	Nigeria			7153	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2016.282786885246
MH053492	MH053492.1	Lassa virus/H.sapiens-wt/NGA/2015/ISTH_0547	2015-09-14	Africa	Nigeria			7135	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2015.7027397260274
MH053494	MH053494.1	Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1207	2016-05-03	Africa	Nigeria			7227	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2016.3374316939892
MH053495	MH053495.1	Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0199	2016-01-18	Africa	Nigeria			6629	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2016.0478142076502
MH053496	MH053496.1	Lassa virus/H.sapiens-wt/NGA/2015/ISTH_0687	2015-11-10	Africa	Nigeria			7185	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2015.858904109589
MH053499	MH053499.1	Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1423	2016-08-16	Africa	Nigeria			7183	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2016.6243169398906
MH053500	MH053500.1	Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1610	2016-11-07	Africa	Nigeria			7192	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2016.8510928961748
MH053503	MH053503.1	Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1462	2016-09-04	Africa	Nigeria			7146	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2016.6762295081967
MH053504	MH053504.1	Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0610	2016-02-15	Africa	Nigeria			7129	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2016.1243169398906
MH053505	MH053505.1	Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1496	2016-09-21	Africa	Nigeria			7159	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2016.7226775956285
MH053507	MH053507.1	Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0141	2016-01-14	Africa	Nigeria			7034	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2016.0368852459017
MH053508	MH053508.1	Lassa virus/H.sapiens-wt/NGA/2015/ISTH_0736	2015-11-27	Africa	Nigeria			7233	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2015.9054794520548
MH053509	MH053509.1	Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1306	2016-06-08	Africa	Nigeria			6483	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2016.4357923497269
MH053510	MH053510.1	Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0031	2016-01-06	Africa	Nigeria			6712	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2016.0150273224044
MH053512	MH053512.1	Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1123	2016-04-21	Africa	Nigeria			7188	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2016.3046448087432
MH053515	MH053515.1	Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0703	2016-02-24	Africa	Nigeria			7216	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2016.1489071038252
MH053516	MH053516.1	Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0146	2016-01-15	Africa	Nigeria			7084	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2016.0396174863388
MH053517	MH053517.1	Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1474	2016-09-14	Africa	Nigeria			7139	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2016.7035519125684
MH053519	MH053519.1	Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1591	2016-11-02	Africa	Nigeria			7101	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2016.8374316939892
MH053520	MH053520.1	Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1568	2016-10-27	Africa	Nigeria			7193	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2016.8210382513662
